secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
7	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
12	NUM	@card@
h.	ABR	h.
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
troupe	NOM	troupe
«	PUN:cit	«
arc-en-ciel	ADJ	arc-en-ciel
»	PUN:cit	»
:	PUN	:
répétition	NOM	répétition
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
socio-culturelle	ADJ	socio-culturelle
.	SENT	.
football	NOM	football
:	PUN	:
des	PRP:det	du
débutants	ADJ	débutant
aux	PRP:det	au
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
socio-culturelle	ADJ	socio-culturelle
.	SENT	.
