«	PUN:cit	«
nos	DET:POS	notre
équipes	NOM	équipe
travaillent	VER:pres	travailler
actuellement	ADV	actuellement
à	PRP	à
un	DET:ART	un
projet	NOM	projet
de	PRP	de
télé-relève	NOM	télé-relève
»,	ADJ	»,
confie	VER:pres	confier
pascal	ADJ	pascal
cabley	NOM	cabley
,	PUN	,
directeur	NOM	directeur
des	PRP:det	du
services	NOM	service
techniques	ADJ	technique
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
concrètement	ADV	concrètement
d'	PRP	de
équiper	VER:infi	équiper
d'	PRP	de
un	DET:ART	un
boîtier	NOM	boîtier
les	DET:ART	le
3.500	NUM	@card@
compteurs	NOM	compteur
que	PRO:REL	que
comptent	VER:pres	compter
la	DET:ART	le
ville	NOM	ville
.	SENT	.
un	DET:ART	un
investissement	NOM	investissement
de	PRP	de
plus	ADV	plus
de	PRP	de
300.000	NUM	@card@
	NOM	
qui	PRO:REL	qui
entend	VER:pres	entendre
faciliter	VER:infi	faciliter
le	DET:ART	le
travail	NOM	travail
de	PRP	de
la	DET:ART	le
personne	NOM	personne
chargée	VER:pper	charger
de	PRP	de
réaliser	VER:infi	réaliser
la	DET:ART	le
relève	NOM	relève
des	PRP:det	du
compteurs	NOM	compteur
.	SENT	.
une	DET:ART	un
opération	NOM	opération
qui	PRO:REL	qui
demande	VER:pres	demander
aujourd'hui	ADV	aujourd'hui
beaucoup	ADV	beaucoup
de	PRP	de
temps	NOM	temps
et	KON	et
est	VER:pres	être
rendue	VER:pper	rendre
difficile	ADJ	difficile
dans	PRP	dans
son	DET:POS	son
exécution	NOM	exécution
pour	PRP	pour
une	DET:ART	un
raison	NOM	raison
primordiale	ADJ	primordial
,	PUN	,
l'	DET:ART	le
accès	NOM	accès
aux	PRP:det	au
compteurs	NOM	compteur
qui	PRO:REL	qui
dans	PRP	dans
la	DET:ART	le
majeure	ADJ	majeur
partie	NOM	partie
des	PRP:det	du
cas	NOM	cas
doit	VER:pres	devoir
se	PRO:PER	se
faire	VER:infi	faire
en	PRP	en
présence	NOM	présence
des	PRP:det	du
occupants	NOM	occupant
de	PRP	de
l'	DET:ART	le
habitation	NOM	habitation
.	SENT	.
d'	PRP	de
où	PRO:REL	où
l'	DET:ART	le
envoi	NOM	envoi
de	PRP	de
trois	NUM	trois
factures	NOM	facture
estimatives	ADJ	estimatif
dans	PRP	dans
l'	DET:ART	le
année	NOM	année
et	KON	et
une	DET:ART	un
seule	ADJ	seul
de	PRP	de
consommation	NOM	consommation
réelle	ADJ	réel
.	SENT	.
dès	PRP	dès
qu'	KON	que
une	DET:ART	un
passerelle	NOM	passerelle
informatique	ADJ	informatique
entre	PRP	entre
la	DET:ART	le
ville	NOM	ville
et	KON	et
la	DET:ART	le
trésorerie	NOM	trésorerie
sera	VER:futu	être
opérationnelle	ADJ	opérationnel
,	PUN	,
le	DET:ART	le
système	NOM	système
mis	VER:pper	mettre
en	PRP	en
place	NOM	place
activera	VER:futu	activer
la	DET:ART	le
relève	NOM	relève
et	KON	et
préviendra	VER:futu	prévenir
le	DET:ART	le
contribuable	NOM	contribuable
,	PUN	,
en	PRP	en
cas	NOM	cas
d'	PRP	de
une	DET:ART	un
consommation	NOM	consommation
excessive	ADJ	excessif
,	PUN	,
d'	PRP	de
une	DET:ART	un
éventuelle	ADJ	éventuel
fuite	NOM	fuite
.	SENT	.
parallèlement	ADV	parallèlement
,	PUN	,
leur	PRO:PER	lui
sera	VER:futu	être
proposé	VER:pper	proposer
le	DET:ART	le
paiement	NOM	paiement
mensualisé	VER:pper	mensualiser
ou	KON	ou
le	DET:ART	le
titre	NOM	titre
interbancaire	ADJ	interbancaire
de	PRP	de
paiement	NOM	paiement
(	PUN	(
tip	NOM	tip
).	ADJ	).
