hier	ADV	hier
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
marie-france	NOM	marie-france
robert	NOM	robert
,	PUN	,
déléguée	VER:pper	déléguer
à	PRP	à
l'	DET:ART	le
état	NOM	état
civil	ADJ	civil
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
par	PRP	par
les	DET:ART	le
liens	NOM	lien
du	PRP:det	du
mariage	NOM	mariage
eric	ADJ	eric
grange	NOM	grange
,	PUN	,
chef	NOM	chef
de	PRP	de
publicité	NOM	publicité
et	KON	et
hélène	NOM	hélène
rande	ADJ	rande
,	PUN	,
directrice	ADJ	directeur
de	PRP	de
maison	NOM	maison
d'	PRP	de
enfants	NOM	enfant
.	SENT	.
les	DET:ART	le
nouveaux	ADJ	nouveau
époux	NOM	époux
demeurent	VER:pres	demeurer
31	NUM	@card@
allée	NOM	allée
des	PRP:det	du
tissiers	NOM	tissiers
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
