l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
,	PUN	,
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
docteur	NOM	docteur
barre	NOM	barre
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.92	NUM	@card@
.	SENT	.
89	NUM	@card@
le	DET:ART	le
samedi	NOM	samedi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
dimanche	NOM	dimanche
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
après	PRP	après
18	NUM	@card@
h	ABR	heure
téléphoner	VER:infi	téléphoner
au	PRP:det	au
centre	NOM	centre
15	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
du	PRP:det	du
samedi	NOM	samedi
8	NUM	@card@
h	ABR	heure
au	PRP:det	au
lundi	NOM	lundi
8	NUM	@card@
h	ABR	heure
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
auxiliaire	NOM	auxiliaire
médicale	ADJ	médical
:	PUN	:
mme	VER:simp	mme
leroy	NOM	leroy
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.82	NUM	@card@
.	SENT	.
21.04	NUM	@card@
.	SENT	.
44	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
du	PRP:det	du
samedi	NOM	samedi
12	NUM	@card@
h	ABR	heure
au	PRP:det	au
lundi	NOM	lundi
14	NUM	@card@
h	ABR	heure
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
mairie	NOM	mairie
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
permanences	NOM	permanence
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
denis	NOM	denis
bartocci	NOM	bartocci
(	PUN	(
travaux	NOM	travail
,	PUN	,
salles	NOM	salle
municipales	ADJ	municipal
),	ADJ	),
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
joël	VER:futu	joël
bélys	NOM	bélys
(	PUN	(
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
quartier	NOM	quartier
saint-pierre	NOM	saint-pierre
).	VER:subi	).
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h.	ABR	h.
jeunesse	NOM	jeunesse
active	ADJ	actif
:	PUN	:
sortie	VER:pper	sortir
shopping	NOM	shopping
à	PRP	à
nancy	NOM	nancy
,	PUN	,
départ	NOM	départ
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
place	NOM	place
du	PRP:det	du
gymnase	NOM	gymnase
,	PUN	,
retour	NOM	retour
vers	PRP	vers
19	NUM	@card@
h.	ABR	h.
aïkido	NOM	aïkido
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
adultes	ADJ	adulte
),	NOM	),
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
enfants	NOM	enfant
),	ADJ	),
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mourière	NOM	mourière
.	SENT	.
piscine	NOM	piscine
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
le	DET:ART	le
public	NOM	public
.	SENT	.
majorettes	NOM	majorette
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mourière	NOM	mourière
.	SENT	.
ecole	NOM	ecole
de	PRP	de
tennis	NOM	tennis
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
.	SENT	.
asjpb	NOM	asjpb
basket-ball	NOM	basket-ball
:	PUN	:
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
joudreville	NOM	joudreville
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
cadets	NOM	cadet
contre	PRP	contre
district	NOM	district
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
minimes	ADJ	minime
filles	NOM	fille
contre	PRP	contre
vand	NOM	vand
	ADJ	
uvre	NOM	uvre
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
cadettes	NOM	cadet
contre	PRP	contre
arnaville	NOM	arnaville
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
seniors	NOM	senior
masculins	ADJ	masculin
a	VER:pres	avoir
contre	PRP	contre
val-d'ajol	NOM	val-d'ajol
(	PUN	(
en	PRP	en
pro-excellence	NOM	pro-excellence
).	ADJ	).
