ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
une	DET:ART	un
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
réunion	NOM	réunion
mensuelle	ADJ	mensuel
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
collectionneurs	NOM	collectionneur
.	SENT	.
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
parents	NOM	parent|parents
d'	PRP	de
élèves	NOM	élève
du	PRP:det	du
collège	NOM	collège
organise	VER:pres	organiser
son	DET:POS	son
repas	NOM	repas
annuel	ADJ	annuel
samedi	NOM	samedi
25	NUM	@card@
janvier	NOM	janvier
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
pré	NOM	pré
aubert	NOM	aubert
.	SENT	.
renseignements	NOM	renseignement
aux	PRP:det	au
03.29	NUM	@card@
.	SENT	.
75.91	NUM	@card@
.	SENT	.
33	NUM	@card@
et	KON	et
03.25	NUM	@card@
.	SENT	.
94.14	NUM	@card@
.	SENT	.
45	NUM	@card@
calendrier	NOM	calendrier
de	PRP	de
ramassage	NOM	ramassage
des	PRP:det	du
écosacs	NOM	écosacs
:	PUN	:
aujourd'hui	ADV	aujourd'hui
et	KON	et
jeudi	NOM	jeudi
23	NUM	@card@
janvier	NOM	janvier
,	PUN	,
sac	NOM	sac
jaune	ADJ	jaune
.	SENT	.
jeudis	NOM	jeudi
16	NUM	@card@
et	KON	et
30	NUM	@card@
janvier	NOM	janvier
,	PUN	,
sac	NOM	sac
bleu	ADJ	bleu
.	SENT	.
