voici	ADV	voici
les	DET:ART	le
horaires	NOM	horaire
de	PRP	de
messes	NOM	messe
et	KON	et
rencontres	NOM	rencontre
en	PRP	en
janvier	NOM	janvier
:	PUN	:
dimanche	NOM	dimanche
5	NUM	@card@
:	PUN	:
messe	NOM	messe
à	PRP	à
montécheroux	NOM	montécheroux
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
lundi	NOM	lundi
6	NUM	@card@
:	PUN	:
permanence-accueil	NOM	permanence-accueil
à	PRP	à
la	DET:ART	le
maison	NOM	maison
paroissiale	ADJ	paroissial
de	PRP	de
chamesol	NOM	chamesol
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
de	PRP	de
même	ADV	même
les	DET:ART	le
lundis	NOM	lundi
13	NUM	@card@
20	NUM	@card@
et	KON	et
27	NUM	@card@
janvier	NOM	janvier
;	PUN	;
rencontres	NOM	rencontre
catéchismes	NOM	catéchisme
ce	PRO:DEM	ce
2,	NUM	@card@
cm	NOM	cm
1	NUM	@card@
et	KON	et
cm	NOM	cm
2	NUM	@card@
à	PRP	à
pont-de-roide	NOM	pont-de-roide
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
et	KON	et
à	PRP	à
blamont	VER:futu	blamont
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
mardi	NOM	mardi
7	NUM	@card@
:	PUN	:
rencontres	NOM	rencontre
catéchismes	NOM	catéchisme
6	NUM	@card@
e	NOM	e
et	KON	et
5	NUM	@card@
e	NOM	e
à	PRP	à
pont-de-roide	NOM	pont-de-roide
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
à	PRP	à
chamesol	NOM	chamesol
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
comité	NOM	comité
de	PRP	de
presse	NOM	presse
.	SENT	.
a	VER:pres	avoir
chamesol	NOM	chamesol
et	KON	et
montécheroux	NOM	montécheroux
,	PUN	,
mardi	NOM	mardi
soir	NOM	soir
et	KON	et
mercredi	NOM	mercredi
matin	NOM	matin
suivant	VER:ppre	suivre
les	DET:ART	le
classes	NOM	classe
reprises	VER:pper	reprendre
des	PRP:det	du
catéchismes	NOM	catéchisme
.	SENT	.
mercredi	NOM	mercredi
8	NUM	@card@
:	PUN	:
chamesol	NOM	chamesol
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
préparation	NOM	préparation
liturgique	ADJ	liturgique
quartier	NOM	quartier
a.	VER:subi	a.
jeudi	NOM	jeudi
9	NUM	@card@
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
réunion	NOM	réunion
des	PRP:det	du
équipes	NOM	équipe
du	PRP:det	du
rosaire	NOM	rosaire
.	SENT	.
samedi	NOM	samedi
11	NUM	@card@
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
grande	ADJ	grand
messe	NOM	messe
paroissiale	ADJ	paroissial
à	PRP	à
chamesol	NOM	chamesol
(	PUN	(
la	DET:ART	le
crèche	NOM	crèche
sera	VER:futu	être
encore	ADV	encore
visible	ADJ	visible
ce	PRO:DEM	ce
week-end	NOM	week-end
).	VER:futu	).
mercredi	NOM	mercredi
15	NUM	@card@
:	PUN	:
à	PRP	à
montécheroux	NOM	montécheroux
,	PUN	,
salle	NOM	salle
paroissiale	ADJ	paroissial
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
préparation	NOM	préparation
liturgique	ADJ	liturgique
.	SENT	.
samedi	NOM	samedi
18	NUM	@card@
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
temps	NOM	temps
fort	ADJ	fort
de	PRP	de
préparation	NOM	préparation
à	PRP	à
la	DET:ART	le
confirmation	NOM	confirmation
à	PRP	à
pont-de-roide	NOM	pont-de-roide
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
du	PRP:det	du
18	NUM	@card@
au	PRP:det	au
25	NUM	@card@
:	PUN	:
semaine	NOM	semaine
de	PRP	de
l'	DET:ART	le
unité	NOM	unité
des	PRP:det	du
chrétiens	NOM	chrétien
.	SENT	.
dimanche	NOM	dimanche
19	NUM	@card@
:	PUN	:
à	PRP	à
montécheroux	NOM	montécheroux
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
assemblée	NOM	assemblée
dominicale	ADJ	dominical
.	SENT	.
mercredi	NOM	mercredi
22	NUM	@card@
:	PUN	:
à	PRP	à
chamesol	NOM	chamesol
,	PUN	,
préparation	NOM	préparation
liturgique	ADJ	liturgique
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
quartier	NOM	quartier
b.	VER:subi	b.
dimanche	NOM	dimanche
26	NUM	@card@
(	PUN	(
fête	NOM	fête
du	PRP:det	du
diocèse	NOM	diocèse
)	PUN	)
:	PUN	:
messe	NOM	messe
à	PRP	à
chamesol	NOM	chamesol
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
mercredi	NOM	mercredi
29	NUM	@card@
:	PUN	:
préparation	NOM	préparation
liturgique	ADJ	liturgique
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
quartier	NOM	quartier
c.	ADJ	c.
