c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
son	DET:POS	son
domicile	NOM	domicile
,	PUN	,
dimanche	NOM	dimanche
5	NUM	@card@
janvier	NOM	janvier
dans	PRP	dans
l'	DET:ART	le
après	ADV	après
midi	NOM	midi
,	PUN	,
que	KON	que
mme	VER:subi	mme
josiane	ADJ	josiane
gameiro	NOM	gameiro
,	PUN	,
56	NUM	@card@
ans	NOM	an
,	PUN	,
est	VER:pres	être
décédée	VER:pper	décéder
,	PUN	,
victime	NOM	victime
d'	PRP	de
une	DET:ART	un
rupture	NOM	rupture
d'	PRP	de
anévrisme	NOM	anévrisme
.	SENT	.
mme	ADJ	mme
gameiro	NOM	gameiro
était	VER:impf	être
née	VER:pper	naître
godard	NOM	godard
,	PUN	,
le	DET:ART	le
8	NUM	@card@
septembre	NOM	septembre
1947	NUM	@card@
à	PRP	à
inor	NOM	inor
dans	PRP	dans
une	DET:ART	un
vieille	ADJ	vieux
famille	NOM	famille
du	PRP:det	du
village	NOM	village
.	SENT	.
le	DET:ART	le
2	NUM	@card@
août	NOM	août
1967	NUM	@card@
elle	PRO:PER	elle
avait	VER:impf	avoir
pris	VER:pper	prendre
pour	PRP	pour
époux	NOM	époux
denis	NOM	denis
gameiro	NOM	gameiro
,	PUN	,
ouvrier	NOM	ouvrier
papetier	ADJ	papetier
.	SENT	.
sans	PRP	sans
enfant	NOM	enfant
,	PUN	,
mme	VER:simp	mme
gameiro	NOM	gameiro
était	VER:impf	être
venue	VER:pper	venir
avec	PRP	avec
son	DET:POS	son
mari	NOM	mari
s'	PRO:PER	se
installer	VER:infi	installer
au	PRP:det	au
village	NOM	village
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
une	DET:ART	un
quinzaine	NOM	quinzaine
d'	PRP	de
années	NOM	année
où	PRO:REL	où
elle	PRO:PER	elle
était	VER:impf	être
unanimement	ADV	unanimement
connue	VER:pper	connaître
et	KON	et
estimée	VER:pper	estimer
.	SENT	.
avec	PRP	avec
son	DET:POS	son
chien	NOM	chien
titus	NOM	titus
,	PUN	,
un	DET:ART	un
petit	ADJ	petit
jack-russel	NOM	jack-russel
,	PUN	,
elle	PRO:PER	elle
aimait	VER:impf	aimer
se	PRO:PER	se
promener	VER:infi	promener
dans	PRP	dans
les	DET:ART	le
alentours	NOM	alentour
.	SENT	.
elle	PRO:PER	elle
prenait	VER:impf	prendre
aussi	ADV	aussi
part	NOM	part
aux	PRP:det	au
activités	NOM	activité
du	PRP:det	du
club	NOM	club
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
du	PRP:det	du
village	NOM	village
,	PUN	,
présidé	VER:pper	présider
par	PRP	par
mme	ADJ	mme
mary	NOM	mary
.	SENT	.
elle	PRO:PER	elle
aimait	VER:impf	aimer
surtout	ADV	surtout
suivre	VER:infi	suivre
son	DET:POS	son
mari	NOM	mari
sur	PRP	sur
tous	PRO:IND	tout
les	DET:ART	le
terrains	NOM	terrain
de	PRP	de
football	NOM	football
d'	PRP	de
ici	ADV	ici
et	KON	et
d'	PRP	de
ailleurs	ADV	ailleurs
,	PUN	,
prenant	VER:ppre	prendre
visiblement	ADV	visiblement
grand	ADJ	grand
plaisir	NOM	plaisir
à	PRP	à
partager	VER:infi	partager
sa	DET:POS	son
passion	NOM	passion
.	SENT	.
sur	PRP	sur
tous	PRO:IND	tout
les	DET:ART	le
terrains	NOM	terrain
,	PUN	,
elle	PRO:PER	elle
était	VER:impf	être
unanimement	ADV	unanimement
connue	VER:pper	connaître
pour	PRP	pour
sa	DET:POS	son
serviabilité	NOM	serviabilité
et	KON	et
sa	DET:POS	son
gentillesse	NOM	gentillesse
.	SENT	.
elle	PRO:PER	elle
part	VER:pres	partir
trop	ADV	trop
vite	ADV	vite
,	PUN	,
ne	ADV	ne
laissant	VER:ppre	laisser
que	ADV	que
des	PRP:det	du
regrets	NOM	regret
.	SENT	.
les	DET:ART	le
obsèques	NOM	obsèques
religieuses	ADJ	religieux
de	PRP	de
mme	ADJ	mme
gameiro	NOM	gameiro
seront	VER:futu	être
célébrées	VER:pper	célébrer
jeudi	NOM	jeudi
9	NUM	@card@
janvier	NOM	janvier
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
l'	DET:ART	le
église	NOM	église
du	PRP:det	du
village	NOM	village
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
