l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
recherche	NOM	recherche
une	DET:ART	un
personne	NOM	personne
sérieuse	ADJ	sérieux
pour	PRP	pour
effectuer	VER:infi	effectuer
quotidiennement	ADV	quotidiennement
une	DET:ART	un
tournée	NOM	tournée
de	PRP	de
portage	NOM	portage
à	PRP	à
domicile	NOM	domicile
sur	PRP	sur
la	DET:ART	le
localité	NOM	localité
.	SENT	.
bon	ADJ	bon
travail	NOM	travail
d'	PRP	de
appoint	NOM	appoint
,	PUN	,
matinal	ADJ	matinal
et	KON	et
commissionné	VER:pper	commissionner
.	SENT	.
véhicule	NOM	véhicule
indispensable	ADJ	indispensable
.	SENT	.
les	DET:ART	le
personnes	NOM	personne
intéressées	ADJ	intéressé
peuvent	VER:pres	pouvoir
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
43.27	NUM	@card@
.	SENT	.
25	NUM	@card@
