mercredi	NOM	mercredi
5	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
réunion	NOM	réunion
du	PRP:det	du
secours	NOM	secours
catholique	ADJ	catholique
,	PUN	,
en	PRP	en
salles	NOM	salle
paroissiales	ADJ	paroissial
,	PUN	,
à	PRP	à
nomexy	NOM	nomexy
.	SENT	.
jeudi	NOM	jeudi
6	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
rencontre	NOM	rencontre
des	PRP:det	du
personnes	NOM	personne
qui	PRO:REL	qui
se	PRO:PER	se
forment	VER:pres	former
pour	PRP	pour
accompagner	VER:infi	accompagner
les	DET:ART	le
familles	NOM	famille
en	PRP	en
deuil	NOM	deuil
,	PUN	,
en	PRP	en
salles	NOM	salle
paroissiales	ADJ	paroissial
de	PRP	de
nomexy	NOM	nomexy
.	SENT	.
samedi	NOM	samedi
8	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
salles	NOM	salle
paroissiales	ADJ	paroissial
de	PRP	de
nomexy	NOM	nomexy
,	PUN	,
éveil	NOM	éveil
à	PRP	à
la	DET:ART	le
foi	NOM	foi
des	PRP:det	du
ce	PRO:DEM	ce
1	NUM	@card@
et	KON	et
leurs	DET:POS	leur
parents	NOM	parent|parents
.	SENT	.
mardi	NOM	mardi
11	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
nomexy	NOM	nomexy
,	PUN	,
salles	NOM	salle
paroissiales	ADJ	paroissial
,	PUN	,
rencontre	VER:pres	rencontrer
mouvement	NOM	mouvement
chrétiens	ADJ	chrétien
retraités	VER:pper	retraiter
.	SENT	.
vendredi	NOM	vendredi
14	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
châtel	NOM	châtel
,	PUN	,
rencontre	NOM	rencontre
du	PRP:det	du
mouvement	NOM	mouvement
chrétiens	ADJ	chrétien
retraités	VER:pper	retraiter
.	SENT	.
samedi	NOM	samedi
15	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
nomexy	NOM	nomexy
,	PUN	,
en	PRP	en
salle	NOM	salle
paroissiale	ADJ	paroissial
,	PUN	,
éveil	NOM	éveil
à	PRP	à
la	DET:ART	le
foi	NOM	foi
des	PRP:det	du
ce	PRO:DEM	ce
1	NUM	@card@
et	KON	et
leurs	DET:POS	leur
parents	NOM	parent|parents
.	SENT	.
