ce	PRO:DEM	ce
vendredi	NOM	vendredi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
8	NUM	@card@
h	ABR	heure
,	PUN	,
l'	DET:ART	le
eau	NOM	eau
sera	VER:futu	être
coupée	VER:pper	couper
en	PRP	en
raison	NOM	raison
de	PRP	de
travaux	NOM	travail
de	PRP	de
réparation	NOM	réparation
effectués	VER:pper	effectuer
par	PRP	par
la	DET:ART	le
société	NOM	société
de	PRP	de
distribution	NOM	distribution
gaz	NOM	gaz
et	KON	et
eaux	NOM	eau
,	PUN	,
en	PRP	en
raison	NOM	raison
d'	PRP	de
une	DET:ART	un
fuite	NOM	fuite
de	PRP	de
canalisation	NOM	canalisation
principale	ADJ	principal
survenue	VER:pper	survenir
entre	PRP	entre
la	DET:ART	le
villeneuve	NOM	villeneuve
et	KON	et
saulx	NOM	saulx
.	SENT	.
parmi	PRP	parmi
les	DET:ART	le
33	NUM	@card@
communes	NOM	commune
concernées	VER:pper	concerner
,	PUN	,
toutes	PRO:IND	tout
les	DET:ART	le
communes	NOM	commune
du	PRP:det	du
syndicat	NOM	syndicat
des	PRP:det	du
eaux	NOM	eau
du	PRP:det	du
breuchin	NOM	breuchin
en	PRP	en
aval	NOM	aval
de	PRP	de
la	DET:ART	le
villeneuve	NOM	villeneuve
,	PUN	,
dont	PRO:REL	dont
port-sur-saône	NOM	port-sur-saône
,	PUN	,
scey-sur-saône	NOM	scey-sur-saône
,	PUN	,
saulx	NOM	saulx
,	PUN	,
pusey	NOM	pusey
,	PUN	,
charmoille	NOM	charmoille
et	KON	et
pusy	NOM	pusy
.	SENT	.
contact	NOM	contact
:	PUN	:
tél	ABR	téléphone
.	SENT	.
0810.877	NUM	@card@
.	SENT	.
877	NUM	@card@
ou	KON	ou
03.84	NUM	@card@
.	SENT	.
75.98	NUM	@card@
.	SENT	.
51	NUM	@card@
