chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
le	DET:ART	le
concert	NOM	concert
de	PRP	de
printemps	NOM	printemps
de	PRP	de
l'	DET:ART	le
harmonie	NOM	harmonie
municipale	ADJ	municipal
de	PRP	de
valdoie	NOM	valdoie
constitue	VER:pres	constituer
un	DET:ART	un
des	PRP:det	du
événements	NOM	événement
musicaux	ADJ	musical
de	PRP	de
la	DET:ART	le
région	NOM	région
.	SENT	.
en	PRP	en
2001	NUM	@card@
les	DET:ART	le
responsables	ADJ	responsable
avaient	VER:impf	avoir
invité	VER:pper	inviter
le	DET:ART	le
groupe	NOM	groupe
«	PUN:cit	«
epsilon	NOM	epsilon
»,	ADJ	»,
l'	DET:ART	le
année	NOM	année
suivante	ADJ	suivant
,	PUN	,
la	DET:ART	le
soirée	NOM	soirée
avait	VER:impf	avoir
été	VER:pper	être
rehaussée	VER:pper	rehausser
par	PRP	par
la	DET:ART	le
présence	NOM	présence
pleine	ADJ	plein
d'	PRP	de
humour	NOM	humour
du	PRP:det	du
quatuor	NOM	quatuor
de	PRP	de
saxophones	NOM	saxophone
«	PUN:cit	«
le	DET:ART	le
gerchouine	NOM	gerchouine
and	VER:futu	and
fire	VER:infi	fire
».	VER:pper	».
pour	PRP	pour
l'	DET:ART	le
édition	NOM	édition
2003	NUM	@card@
qui	PRO:REL	qui
aura	VER:futu	avoir
lieu	NOM	lieu
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
de	PRP	de
belfort	NOM	belfort
,	PUN	,
le	DET:ART	le
17	NUM	@card@
mai	NOM	mai
,	PUN	,
la	DET:ART	le
seconde	NUM	second
partie	NOM	partie
du	PRP:det	du
concert	NOM	concert
sera	VER:futu	être
assurée	VER:pper	assurer
par	PRP	par
«	PUN:cit	«
le	DET:ART	le
quatuor	NOM	quatuor
de	PRP	de
clarinettes	NOM	clarinette
de	PRP	de
paris	NOM	pari
»	PUN:cit	»
de	PRP	de
renommée	NOM	renommée
internationale	ADJ	international
,	PUN	,
qui	PRO:REL	qui
présentera	VER:futu	présenter
un	DET:ART	un
programme	NOM	programme
varié	ADJ	varié
allant	VER:ppre	aller
du	PRP:det	du
baroque	NOM	baroque
à	PRP	à
la	DET:ART	le
musique	NOM	musique
actuelle	ADJ	actuel
en	PRP	en
passant	VER:ppre	passer
par	PRP	par
le	DET:ART	le
jazz	NOM	jazz
.	SENT	.
pour	PRP	pour
cette	PRO:DEM	ce
soirée	NOM	soirée
,	PUN	,
le	DET:ART	le
choix	NOM	choix
des	PRP:det	du
responsables	ADJ	responsable
de	PRP	de
l'	DET:ART	le
harmonie	NOM	harmonie
s'	PRO:PER	se
est	VER:pres	être
porté	VER:pper	porter
sur	PRP	sur
la	DET:ART	le
symphonie	NOM	symphonie
n	VER:futu	n
°	NOM	°
1	NUM	@card@
du	PRP:det	du
compositeur	NOM	compositeur
hollandais	ADJ	hollandais
johan	NOM	johan
de	PRP	de
meij	NOM	meij
,	PUN	,
«	PUN:cit	«
le	DET:ART	le
seigneur	NOM	seigneur
des	PRP:det	du
anneaux	NOM	anneau
»,	ADJ	»,
pour	KON	pour
laquelle	PRO:REL	lequel
il	PRO:PER	il
a	VER:pres	avoir
obtenu	VER:pper	obtenir
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
international	ADJ	international
de	PRP	de
composition	NOM	composition
pour	PRP	pour
orchestre	NOM	orchestre
à	PRP	à
vent	NOM	vent
en	PRP	en
1989	NUM	@card@
à	PRP	à
chicago	NOM	chicago
.	SENT	.
alain	NOM	alain
chaton	NOM	chaton
explique	VER:pres	expliquer
«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
	ADJ	
uvre	NOM	uvre
qui	PRO:REL	qui
a	VER:pres	avoir
tout	ADV	tout
de	PRP	de
suite	NOM	suite
suscité	VER:pper	susciter
des	PRP:det	du
passions	NOM	passion
mais	KON	mais
aussi	ADV	aussi
l'	DET:ART	le
envie	NOM	envie
de	PRP	de
la	DET:ART	le
jouer	VER:infi	jouer
».	VER:pper	».
il	PRO:PER	il
poursuit	VER:pres	poursuivre
:	PUN	:
«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
pourquoi	ADV	pourquoi
nous	PRO:PER	nous
avons	VER:pres	avoir
décidé	VER:pper	décider
de	PRP	de
l'	PRO:PER	la|le
inscrire	VER:infi	inscrire
à	PRP	à
notre	DET:POS	notre
programme	NOM	programme
même	ADJ	même
si	KON	si
cette	PRO:DEM	ce
	ADJ	
uvre	NOM	uvre
demande	VER:pres	demander
une	DET:ART	un
grosse	ADJ	gros
quantité	NOM	quantité
de	PRP	de
travail	NOM	travail
individuelle	ADJ	individuel
et	KON	et
collective	ADJ	collectif
».	VER:futu	».
compte-tenu	VER:pper	compte-tenu
de	PRP	de
cette	PRO:DEM	ce
difficulté	NOM	difficulté
,	PUN	,
les	DET:ART	le
dirigeants	NOM	dirigeant
de	PRP	de
l'	DET:ART	le
harmonie	NOM	harmonie
ont	VER:pres	avoir
mis	VER:pper	mettre
sur	PRP	sur
pied	NOM	pied
un	DET:ART	un
week-end	NOM	week-end
de	PRP	de
travail	NOM	travail
autour	ADV	autour
de	PRP	de
cette	PRO:DEM	ce
	ADJ	
uvre	NOM	uvre
.	SENT	.
travail	NOM	travail
sur	PRP	sur
«	PUN:cit	«
pupitre	NOM	pupitre
»	PUN:cit	»
(	PUN	(
par	PRP	par
discipline	NOM	discipline
)	PUN	)
avec	PRP	avec
un	DET:ART	un
encadrement	NOM	encadrement
assuré	VER:pper	assurer
par	PRP	par
des	PRP:det	du
professeurs	NOM	professeur
qui	PRO:REL	qui
appartiennent	VER:pres	appartenir
en	PRP	en
majorité	NOM	majorité
à	PRP	à
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
communautaire	ADJ	communautaire
de	PRP	de
valdoie	NOM	valdoie
.	SENT	.
vient	VER:pres	venir
ensuite	ADV	ensuite
,	PUN	,
la	DET:ART	le
répétition	NOM	répétition
en	PRP	en
«	PUN:cit	«
tutti	NOM	tutti
»	PUN:cit	»
de	PRP	de
«	PUN:cit	«
manière	NOM	manière
à	PRP	à
immédiatement	ADV	immédiatement
concrétiser	VER:infi	concrétiser
et	KON	et
apprécier	VER:infi	apprécier
ce	PRO:DEM	ce
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
réalisé	VER:pper	réaliser
auparavant	ADV	auparavant
.	SENT	.
mais	KON	mais
,	PUN	,
précise	VER:pres	préciser
encore	ADV	encore
alain	NOM	alain
chaton	NOM	chaton
,	PUN	,
«	PUN:cit	«
cette	PRO:DEM	ce
prestation	NOM	prestation
sera	VER:futu	être
à	PRP	à
l'	DET:ART	le
image	NOM	image
des	PRP:det	du
concerts	NOM	concert
spectacles	NOM	spectacle
de	PRP	de
l'	DET:ART	le
harmonie	NOM	harmonie
avec	PRP	avec
une	DET:ART	un
présentation	NOM	présentation
théâtrale	ADJ	théâtral
et	KON	et
des	PRP:det	du
décors	NOM	décor
qui	PRO:REL	qui
plongeront	VER:futu	plonger
le	DET:ART	le
public	NOM	public
dans	PRP	dans
l'	DET:ART	le
univers	NOM	univers
fascinant	VER:ppre	fasciner
de	PRP	de
john	NOM	john
ronald	VER:subi	ronald
reuel	ADJ	reuel
tolkien	NOM	tolkien
.	SENT	.
six	NUM	six
ou	KON	ou
sept	NUM	sept
acteurs	NOM	acteur
devraient	VER:cond	devoir
donner	VER:infi	donner
un	DET:ART	un
aperçu	NOM	aperçu
de	PRP	de
l'	DET:ART	le
intrigue	NOM	intrigue
en	PRP	en
interprétant	VER:ppre	interpréter
les	DET:ART	le
personnages	NOM	personnage
principaux	ADJ	principal
:	PUN	:
frodo	NOM	frodo
,	PUN	,
gandalf	NOM	gandalf
,	PUN	,
gollum	NOM	gollum
...	PUN	...
»	PUN:cit	»
il	PRO:PER	il
faut	VER:pres	falloir
préciser	VER:infi	préciser
que	KON	que
le	DET:ART	le
livre	NOM	livre
de	PRP	de
tolkien	NOM	tolkien
«	PUN:cit	«
le	DET:ART	le
seigneur	NOM	seigneur
des	PRP:det	du
anneaux	NOM	anneau
»	PUN:cit	»
a	VER:pres	avoir
été	VER:pper	être
publié	VER:pper	publier
en	PRP	en
1955	NUM	@card@
et	KON	et
que	KON	que
la	DET:ART	le
symphonie	NOM	symphonie
de	PRP	de
johan	NOM	johan
de	PRP	de
miej	NOM	miej
,	PUN	,
inspirée	VER:pper	inspirer
de	PRP	de
cet	PRO:DEM	ce
ouvrage	NOM	ouvrage
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
composée	VER:pper	composer
entre	PRP	entre
mars	NOM	mars
1984	NUM	@card@
et	KON	et
décembre	NOM	décembre
1987	NUM	@card@
mais	KON	mais
pour	PRP	pour
le	DET:ART	le
film	NOM	film
,	PUN	,
sorti	VER:pper	sortir
en	PRP	en
2002	NUM	@card@
la	DET:ART	le
musique	NOM	musique
est	VER:pres	être
due	VER:pper	devoir
à	PRP	à
un	DET:ART	un
compositeur	NOM	compositeur
américain	ADJ	américain
.	SENT	.
