dernièrement	ADV	dernièrement
,	PUN	,
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
à	PRP	à
burey-en-vaux	NOM	burey-en-vaux
,	PUN	,
la	DET:ART	le
réunion	NOM	réunion
d'	PRP	de
élaboration	NOM	élaboration
du	PRP:det	du
calendrier	NOM	calendrier
des	PRP:det	du
fêtes	NOM	fête
du	PRP:det	du
canton	NOM	canton
.	SENT	.
en	PRP	en
voici	ADV	voici
la	DET:ART	le
liste	NOM	liste
en	PRP	en
sachant	VER:ppre	savoir
que	KON	que
ne	ADV	ne
figurent	VER:pres	figurer
que	KON	que
les	DET:ART	le
festivités	NOM	festivité
des	PRP:det	du
villages	NOM	village
ayant	VER:ppre	avoir
participé	VER:pper	participer
à	PRP	à
la	DET:ART	le
rencontre	NOM	rencontre
.	SENT	.
brixey-aux-chanoines	NOM	brixey-aux-chanoines
:	PUN	:
13	NUM	@card@
juillet	NOM	juillet
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
;	PUN	;
20	NUM	@card@
juillet	NOM	juillet
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
.	SENT	.
burey-la-côte	NOM	burey-la-côte
:	PUN	:
9	NUM	@card@
février	NOM	février
,	PUN	,
repas	NOM	repas
des	PRP:det	du
anciens	NOM	ancien
;	PUN	;
13	NUM	@card@
juillet	NOM	juillet
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
et	KON	et
repas	NOM	repas
champêtre	ADJ	champêtre
;	PUN	;
15	NUM	@card@
août	NOM	août
,	PUN	,
concours	NOM	concours
de	PRP	de
labours	NOM	labour
;	PUN	;
5	NUM	@card@
octobre	NOM	octobre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
.	SENT	.
burey-en-vaux	NOM	burey-en-vaux
:	PUN	:
8	NUM	@card@
juin	NOM	juin
,	PUN	,
vide-greniers	NOM	vide-greniers
,	PUN	,
feux	NOM	feu
d'	PRP	de
artifices	NOM	artifice
,	PUN	,
repas	NOM	repas
champêtre	ADJ	champêtre
;	PUN	;
12	NUM	@card@
octobre	NOM	octobre
,	PUN	,
fête	NOM	fête
patronale	ADJ	patronal
;	PUN	;
6	NUM	@card@
décembre	NOM	décembre
,	PUN	,
téléthon	NOM	téléthon
.	SENT	.
chalaines	NOM	chalaines
:	PUN	:
8	NUM	@card@
mars	NOM	mars
,	PUN	,
carnaval	NOM	carnaval
;	PUN	;
27	NUM	@card@
avril	NOM	avril
,	PUN	,
brocante	NOM	brocante
;	PUN	;
21	NUM	@card@
juin	NOM	juin
,	PUN	,
feux	NOM	feu
de	PRP	de
la	DET:ART	le
saint-jean	NOM	saint-jean
;	PUN	;
30	NUM	@card@
août	NOM	août
,	PUN	,
concours	NOM	concours
de	PRP	de
pétanque	NOM	pétanque
;	PUN	;
31	NUM	@card@
octobre	NOM	octobre
,	PUN	,
halloween	NOM	halloween
