demain	ADV	demain
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
roland-dufeu	ADJ	roland-dufeu
,	PUN	,
la	DET:ART	le
maison	NOM	maison
rurale	ADJ	rural
de	PRP	de
la	DET:ART	le
famille	NOM	famille
et	KON	et
des	PRP:det	du
jeunes	NOM	jeune
(	PUN	(
mrfj	NOM	mrfj
)	PUN	)
tiendra	VER:futu	tenir
son	DET:POS	son
assemblée	NOM	assemblée
générale	ADJ	général
annuelle	ADJ	annuel
.	SENT	.
toute	PRO:IND	tout
la	DET:ART	le
population	NOM	population
y	PRO:PER	y
est	VER:pres	être
invitée	VER:pper	inviter
.	SENT	.
