m.	ABR	m.
rené	VER:pper	renaître
trognon	NOM	trognon
tantimont	VER:futu	tantimont
88130	NUM	@card@
charmes	NOM	charme
.	SENT	.
j'	PRO:PER	je
étais	VER:impf	être
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
jour	NOM	jour
en	PRP	en
ville	NOM	ville
...	PUN	...
et	KON	et
j'	PRO:PER	je
observais	VER:impf	observer
les	DET:ART	le
passants	NOM	passant
disciplinés	VER:pper	discipliner
et	KON	et
les	DET:ART	le
voitures	NOM	voiture
de	PRP	de
police	NOM	police
qui	PRO:REL	qui
patrouillaient	VER:impf	patrouiller
.	SENT	.
en	PRP	en
cette	PRO:DEM	ce
période	NOM	période
de	PRP	de
fêtes	NOM	fête
de	PRP	de
fin	NOM	fin
d'	PRP	de
année	NOM	année
,	PUN	,
il	PRO:PER	il
me	PRO:PER	me
semblait	VER:impf	sembler
que	KON	que
la	DET:ART	le
peur	NOM	peur
et	KON	et
la	DET:ART	le
méfiance	NOM	méfiance
avaient	VER:impf	avoir
pris	VER:pper	prendre
le	DET:ART	le
dessus	NOM	dessus
et	KON	et
que	KON	que
tout	PRO:IND	tout
était	VER:impf	être
entretenu	VER:pper	entretenir
pour	PRP	pour
qu'	KON	que
il	PRO:PER	il
en	PRO:PER	en
soit	VER:subp	être
ainsi	ADV	ainsi
.	SENT	.
a	VER:pres	avoir
strasbourg	NOM	strasbourg
,	PUN	,
une	DET:ART	un
bouteille	NOM	bouteille
de	PRP	de
gaz	NOM	gaz
,	PUN	,
vide	ADJ	vide
et	KON	et
abandonnée	VER:pper	abandonner
,	PUN	,
et	KON	et
le	DET:ART	le
danger	NOM	danger
terroriste	ADJ	terroriste
ressurgit	VER:pres	ressurgir
.	SENT	.
a	VER:pres	avoir
nancy	NOM	nancy
,	PUN	,
une	DET:ART	un
valise	NOM	valise
retrouvée	VER:pper	retrouver
au	PRP:det	au
point	NOM	point
central	ADJ	central
,	PUN	,
et	KON	et
tout	ADV	tout
s'	PRO:PER	se
arrête	VER:pres	arrêter
,	PUN	,
faisant	VER:ppre	faire
ressurgir	VER:infi	ressurgir
les	DET:ART	le
démons	NOM	démon
d'	PRP	de
autrefois	ADV	autrefois
,	PUN	,
la	DET:ART	le
peur	NOM	peur
du	PRP:det	du
terroriste	NOM	terroriste
et	KON	et
du	PRP:det	du
diable	NOM	diable
.	SENT	.
ce	PRO:DEM	ce
n'	ADV	ne
était	VER:impf	être
,	PUN	,
bien	ADV	bien
sûr	ADJ	sûr
,	PUN	,
que	KON	que
de	PRP	de
fausses	ADJ	faux
alertes	NOM	alerte
,	PUN	,
mais	KON	mais
les	DET:ART	le
médias	NOM	médias
s'	PRO:PER	se
en	PRO:PER	en
emparent	VER:pres	emparer
.	SENT	.
le	DET:ART	le
journal	NOM	journal
télévisé	VER:pper	téléviser
n'	ADV	ne
est-il	ADJ	est-il
pas	ADV	pas
devenu	VER:pper	devenir
une	DET:ART	un
longue	ADJ	longue
énumération	NOM	énumération
de	PRP	de
faits	NOM	fait
divers	ADJ	divers
gravement	ADV	gravement
réprimés	VER:pper	réprimer
,	PUN	,
culpabilisant	VER:ppre	culpabiliser
tout	PRO:IND	tout
un	NOM	un
chacun	PRO:IND	chacun
?	SENT	?
tandis	KON	tandis
que	KON	que
la	DET:ART	le
télévision	NOM	télévision
nous	PRO:PER	nous
déverse	VER:pres	déverser
les	DET:ART	le
méfaits	NOM	méfait
de	PRP	de
quelques	PRO:IND	quelque
«	PUN:cit	«
voyous	NOM	voyou
»	PUN:cit	»
ayant	VER:ppre	avoir
trop	ADV	trop
bu	VER:pper	boire
ou	KON	ou
fumé	VER:pper	fumer
,	PUN	,
on	PRO:PER	on
passe	VER:pres	passer
sous	PRP	sous
silence	NOM	silence
,	PUN	,
ou	KON	ou
presque	ADV	presque
,	PUN	,
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
déséquilibres	NOM	déséquilibre
climatiques	ADJ	climatique
,	PUN	,
des	PRP:det	du
graves	ADJ	grave
crimes	NOM	crime
contre	PRP	contre
l'	DET:ART	le
environnement	NOM	environnement
ou	KON	ou
les	DET:ART	le
réformes	NOM	réforme
visant	VER:ppre	viser
à	PRP	à
modifier	VER:infi	modifier
le	DET:ART	le
statut	NOM	statut
des	PRP:det	du
chercheurs	NOM	chercheur
,	PUN	,
des	PRP:det	du
éducateurs	NOM	éducateur
ou	KON	ou
des	PRP:det	du
chômeurs	NOM	chômeur
.	SENT	.
ne	ADV	ne
se	PRO:PER	se
trompe-t-on	VER:cond	trompe-t-on
pas	ADV	pas
de	PRP	de
coupable	NOM	coupable
?	SENT	?
aux	PRP:det	au
usa	VER:simp	user
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
fumeur	NOM	fumeur
anonyme	ADJ	anonyme
et	KON	et
pollueur	ADJ	pollueur
alors	ADV	alors
que	KON	que
l'	DET:ART	le
état	NOM	état
refuse	VER:pres	refuser
les	DET:ART	le
accords	NOM	accord
de	PRP	de
kyoto	NOM	kyoto
et	KON	et
se	PRO:PER	se
permet	VER:pres	permettre
des	PRP:det	du
gaz	NOM	gaz
polluants	ADJ	polluant
à	PRP	à
effets	NOM	effet
de	PRP	de
serre	NOM	serre
qui	PRO:REL	qui
déséquilibrent	VER:pres	déséquilibrer
la	DET:ART	le
planète	NOM	planète
.	SENT	.
de	PRP	de
même	ADV	même
,	PUN	,
le	DET:ART	le
français	ADJ	français
de	PRP	de
base	NOM	base
se	PRO:PER	se
sent	VER:pres	sentir
coupable	ADJ	coupable
de	PRP	de
boire	VER:infi	boire
un	DET:ART	un
verre	NOM	verre
à	PRP	à
table	NOM	table
.	SENT	.
il	PRO:PER	il
encoure	VER:subp	encourir
des	PRP:det	du
peines	NOM	peine
beaucoup	ADV	beaucoup
plus	ADV	plus
lourdes	ADJ	lourd
que	KON	que
les	DET:ART	le
escrocs	NOM	escroc
en	PRP	en
col	NOM	col
blanc	ADJ	blanc
ayant	VER:ppre	avoir
trafiqué	VER:pper	trafiquer
l'	DET:ART	le
argent	NOM	argent
du	PRP:det	du
contribuable	NOM	contribuable
.	SENT	.
l'	DET:ART	le
insécurité	NOM	insécurité
est	VER:pres	être
aussi	ADV	aussi
financière	ADJ	financier
,	PUN	,
politique	ADJ	politique
et	KON	et
écologique	ADJ	écologique
.	SENT	.
ne	ADV	ne
nous	PRO:PER	nous
promet-on	VER:cond	promet-on
pas	ADV	pas
,	PUN	,
pour	KON	pour
bientôt	ADV	bientôt
,	PUN	,
une	DET:ART	un
guerre	NOM	guerre
à	PRP	à
enjeux	NOM	enjeu
pétrolifères	ADJ	pétrolifère
?	SENT	?
c'	PRO:DEM	ce
est	VER:pres	être
ainsi	ADV	ainsi
et	KON	et
il	PRO:PER	il
faut	VER:pres	falloir
savoir	VER:infi	savoir
accepter	VER:infi	accepter
son	DET:POS	son
époque	NOM	époque
.	SENT	.
autrefois	ADV	autrefois
,	PUN	,
la	DET:ART	le
france	NOM	france
profonde	ADJ	profond
,	PUN	,
instruite	VER:pper	instruire
dans	PRP	dans
les	DET:ART	le
droits	NOM	droit
de	PRP	de
l'	DET:ART	le
homme	NOM	homme
,	PUN	,
se	PRO:PER	se
levait	VER:impf	lever
pour	PRP	pour
dire	VER:infi	dire
:	PUN	:
«	PUN:cit	«
ca	ADJ	ca
suffit	VER:pres	suffire
».	VER:pper	».
aujourd'hui	ADV	aujourd'hui
,	PUN	,
il	PRO:PER	il
semble	VER:pres	sembler
que	KON	que
tous	PRO:IND	tout
se	PRO:PER	se
taisent	VER:pres	taire
et	KON	et
soient	VER:subp	être
culpabilisés	VER:pper	culpabiliser
.	SENT	.
l'	DET:ART	le
individu	NOM	individu
muet	ADJ	muet
,	PUN	,
baisse	VER:pres	baisser
la	DET:ART	le
tête	NOM	tête
et	KON	et
obéit	VER:pres	obéir
.	SENT	.
je	PRO:PER	je
ne	ADV	ne
peux	VER:pres	pouvoir
croire	VER:infi	croire
qu'	KON	que
il	PRO:PER	il
en	PRO:PER	en
est	VER:pres	être
ainsi	ADV	ainsi
dans	PRP	dans
le	DET:ART	le
pays	NOM	pays
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
révolutions	NOM	révolution
et	KON	et
je	PRO:PER	je
crois	VER:pres	croire
qu'	KON	que
il	PRO:PER	il
existe	VER:pres	exister
encore	ADV	encore
un	DET:ART	un
espace	NOM	espace
de	PRP	de
liberté	NOM	liberté
et	KON	et
d'	PRP	de
association	NOM	association
pour	PRP	pour
dire	VER:infi	dire
non	ADV	non
à	PRP	à
toutes	PRO:IND	tout
les	DET:ART	le
formes	NOM	forme
de	PRP	de
terrorisme	NOM	terrorisme
.	SENT	.
le	DET:ART	le
problème	NOM	problème
est	VER:pres	être
dans	PRP	dans
le	DET:ART	le
silence	NOM	silence
.	SENT	.
et	KON	et
si	KON	si
nous	PRO:PER	nous
ne	ADV	ne
nous	PRO:PER	nous
taisions	VER:impf	taire
plus	ADV	plus
?	SENT	?
