lors	ADV	lors
de	PRP	de
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
la	DET:ART	le
municipalité	NOM	municipalité
,	PUN	,
douze	NUM	douze
personnes	NOM	personne
ont	VER:pres	avoir
été	VER:pper	être
honorées	VER:pper	honorer
par	PRP	par
la	DET:ART	le
remise	NOM	remise
de	PRP	de
la	DET:ART	le
médaille	NOM	médaille
de	PRP	de
la	DET:ART	le
ville	NOM	ville
pour	PRP	pour
vingt-cinq	NUM	vingt-cinq
années	NOM	année
de	PRP	de
présence	NOM	présence
dans	PRP	dans
leurs	DET:POS	leur
activités	NOM	activité
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
chaque	PRO:IND	chaque
couple	NOM	couple
a	VER:pres	avoir
reçu	VER:pper	recevoir
une	DET:ART	un
composition	NOM	composition
florale	ADJ	floral
,	PUN	,
un	DET:ART	un
livre	NOM	livre
de	PRP	de
robert	NOM	robert
dubail	ADJ	dubail
et	KON	et
un	DET:ART	un
bon	ADJ	bon
d'	PRP	de
achat	NOM	achat
.	SENT	.
félicitations	NOM	félicitation
.	SENT	.
personnel	NOM	personnel
de	PRP	de
la	DET:ART	le
ville	NOM	ville
:	PUN	:
alain	NOM	alain
beringer	ADJ	beringer
,	PUN	,
eric	ADJ	eric
castel	NOM	castel
,	PUN	,
jean-marc	NOM	jean-marc
delagrange	NOM	delagrange
,	PUN	,
nicolas	VER:simp	nicolas
halm	NOM	halm
,	PUN	,
jean-yves	NOM	jean-yves
thiebaud	ADJ	thiebaud
.	SENT	.
gendarme	NOM	gendarme
:	PUN	:
gérard	NOM	gérard
mougeot	ADJ	mougeot
.	SENT	.
enseignants	NOM	enseignant
au	PRP:det	au
collège	NOM	collège
:	PUN	:
ange-marie	NOM	ange-marie
fernandez	VER:pres	fernandez
,	PUN	,
bernadette	NOM	bernadette
grun	NOM	grun
,	PUN	,
denis	NOM	denis
liegeois	ADJ	liegeois
,	PUN	,
roland	ADJ	roland
paxion	NOM	paxion
,	PUN	,
christiane	NOM	christiane
pintonato	ADJ	pintonato
,	PUN	,
hélène	NOM	hélène
sikora	NOM	sikora
.	SENT	.
