aujourd'hui	ADV	aujourd'hui
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
foyer	NOM	foyer
municipal	ADJ	municipal
des	PRP:det	du
aînés	NOM	aîné
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
mercredi	NOM	mercredi
12	NUM	@card@
:	PUN	:
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
rendez-vous	NOM	rendez-vous
parking	NOM	parking
match	NOM	match
pour	PRP	pour
une	DET:ART	un
sortie	NOM	sortie
organisée	VER:pper	organiser
par	PRP	par
les	DET:ART	le
randonneurs	NOM	randonneur
du	PRP:det	du
canton	NOM	canton
,	PUN	,
départ	NOM	départ
de	PRP	de
la	DET:ART	le
marche	NOM	marche
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
parc	NOM	parc
de	PRP	de
brabois	NOM	brabois
sur	PRP	sur
le	DET:ART	le
thème	NOM	thème
«	PUN:cit	«
jardins	NOM	jardin
et	KON	et
châteaux	NOM	château
»	PUN:cit	»
jeudi	NOM	jeudi
13	NUM	@card@
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
retraités	NOM	retraité
et	KON	et
personnes	NOM	personne
âgées	ADJ	âgé
;	PUN	;
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
,	PUN	,
conseil	NOM	conseil
municipal	ADJ	municipal
.	SENT	.
vendredi	NOM	vendredi
14	NUM	@card@
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
permanence	NOM	permanence
du	PRP:det	du
cicas	NOM	cicas
;	PUN	;
à	PRP	à
18	NUM	@card@
h	ABR	heure
au	PRP:det	au
musée	NOM	musée
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
musée	NOM	musée
français	ADJ	français
de	PRP	de
la	DET:ART	le
brasserie	NOM	brasserie
;	PUN	;
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
musée	NOM	musée
du	PRP:det	du
cinéma	NOM	cinéma
,	PUN	,
séance	NOM	séance
de	PRP	de
ciné-club	NOM	ciné-club
9,5	NUM	@card@
de	PRP	de
lorraine	NOM	lorrain
.	SENT	.
samedi	NOM	samedi
15	NUM	@card@
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
de	PRP	de
la	DET:ART	le
sidi	NOM	sidi
brahim	NOM	brahim
.	SENT	.
dimanche	NOM	dimanche
16	NUM	@card@
:	PUN	:
à	PRP	à
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
rendez-vous	NOM	rendez-vous
devant	PRP	devant
l'	DET:ART	le
église	NOM	église
de	PRP	de
crevéchamps	NOM	crevéchamps
pour	PRP	pour
une	DET:ART	un
marche	NOM	marche
de	PRP	de
trois	NUM	trois
heures	NOM	heure
proposées	VER:pper	proposer
par	PRP	par
les	DET:ART	le
randonneurs	NOM	randonneur
du	PRP:det	du
canton	NOM	canton
;	PUN	;
à	PRP	à
10	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
fdcr	NOM	fdcr
;	PUN	;
à	PRP	à
12	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
repas	NOM	repas
dansant	VER:ppre	danser
organisé	VER:pper	organiser
par	PRP	par
la	DET:ART	le
fdcr	NOM	fdcr
;	PUN	;
à	PRP	à
14	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
sports	NOM	sport
,	PUN	,
journée	NOM	journée
de	PRP	de
la	DET:ART	le
gymnastique	NOM	gymnastique
organisée	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
agp	NOM	agp
.	SENT	.
