m.	ABR	m.
james	NOM	james
girardat	NOM	girardat
62	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
orée	NOM	orée
,	PUN	,
neuchâtel	NOM	neuchâtel
(	PUN	(
suisse	ADJ	suisse
).	VER:futu	).
voici	ADV	voici
une	DET:ART	un
affaire	NOM	affaire
(	PUN	(
vache	NOM	vache
)	PUN	)
qui	PRO:REL	qui
pourrait	VER:cond	pouvoir
être	VER:infi	être
lourde	ADJ	lourd
de	PRP	de
conséquences	NOM	conséquence
.	SENT	.
l'	DET:ART	le
empire	NOM	empire
buffalo	NOM	buffalo
grill	NOM	grill
serait	VER:cond	être
soupçonné	VER:pper	soupçonner
d'	PRP	de
un	DET:ART	un
trafic	NOM	trafic
de	PRP	de
viande	NOM	viande
bovine	ADJ	bovin
en	PRP	en
provenance	NOM	provenance
de	PRP	de
grande-bretagne	NOM	grande-bretagne
pendant	PRP	pendant
l'	DET:ART	le
embargo	NOM	embargo
.(...)	ADJ	.(...)
hormis	PRP	hormis
cette	PRO:DEM	ce
accusation	NOM	accusation
(	PUN	(
à	PRP	à
tort	NOM	tort
ou	KON	ou
à	PRP	à
raison	NOM	raison
),	ADJ	),
voici	ADV	voici
un	DET:ART	un
sujet	NOM	sujet
d'	PRP	de
actualité	NOM	actualité
souvent	ADV	souvent
relaté	VER:pper	relater
dans	PRP	dans
la	DET:ART	le
presse	NOM	presse
qui	PRO:REL	qui
mérite	VER:pres	mériter
une	DET:ART	un
page	NOM	page
d'	PRP	de
histoire	NOM	histoire
.	SENT	.
nous	PRO:PER	nous
les	DET:ART	le
consommateurs	NOM	consommateur
,	PUN	,
on	PRO:PER	on
se	PRO:PER	se
souviendra	VER:futu	souvenir
toujours	ADV	toujours
des	PRP:det	du
prions	VER:pres	prier
offerts	VER:pper	offrir
si	ADV	si
généreusement	ADV	généreusement
dans	PRP	dans
nos	DET:POS	notre
assiettes	NOM	assiette
depuis	PRP	depuis
les	DET:ART	le
années	NOM	année
1980	NUM	@card@
le	DET:ART	le
petit	ADJ	petit
larousse	NOM	larousse
,	PUN	,
avant	PRP	avant
1965	NUM	@card@
définissait	VER:impf	définir
déjà	ADV	déjà
l'	DET:ART	le
épidémie	NOM	épidémie
du	PRP:det	du
kuru	NOM	kuru
,	PUN	,
encéphalite	NOM	encéphalite
provoquée	VER:pper	provoquer
par	PRP	par
un	DET:ART	un
virus	NOM	virus
lent	ADJ	lent
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
observe	VER:pres	observer
en	PRP	en
nouvelle-guinée	NOM	nouvelle-guinée
,	PUN	,
comme	KON	comme
un	DET:ART	un
synonyme	NOM	synonyme
de	PRP	de
la	DET:ART	le
maladie	NOM	maladie
de	PRP	de
