récemment	ADV	récemment
a	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
une	DET:ART	un
rencontre	NOM	rencontre
avec	PRP	avec
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
paroisses	NOM	paroisse
du	PRP:det	du
bienheureux	ADJ	bienheureux
père	NOM	père
gérard	ADJ	gérard
,	PUN	,
de	PRP	de
l'	DET:ART	le
amezule	NOM	amezule
,	PUN	,
et	KON	et
schoeffler	NOM	schoeffler
,	PUN	,
pour	PRP	pour
le	DET:ART	le
secteur	NOM	secteur
de	PRP	de
seille	NOM	seille
et	KON	et
mauchère	NOM	mauchère
.	SENT	.
au	PRP:det	au
programme	NOM	programme
,	PUN	,
une	DET:ART	un
mise	NOM	mise
à	PRP	à
jour	NOM	jour
du	PRP:det	du
contenu	NOM	contenu
des	PRP:det	du
ateliers	NOM	atelier
qui	PRO:REL	qui
ont	VER:pres	avoir
été	VER:pper	être
organisés	VER:pper	organiser
.	SENT	.
apparemment	ADV	apparemment
,	PUN	,
l'	DET:ART	le
accent	NOM	accent
a	VER:pres	avoir
été	VER:pper	être
porté	VER:pper	porter
sur	PRP	sur
la	DET:ART	le
diversité	NOM	diversité
des	PRP:det	du
thèmes	NOM	thème
,	PUN	,
pour	PRP	pour
mettre	VER:infi	mettre
en	PRP	en
exergue	NOM	exergue
l'	DET:ART	le
activité	NOM	activité
au	PRP:det	au
sein	NOM	sein
des	PRP:det	du
paroisses	NOM	paroisse
.	SENT	.
l'	DET:ART	le
évêque	NOM	évêque
,	PUN	,
jean-paul	NOM	jean-paul
papin	ADJ	papin
,	PUN	,
sera	VER:futu	être
sur	PRP	sur
le	DET:ART	le
doyenné	NOM	doyenné
du	PRP:det	du
4	NUM	@card@
au	PRP:det	au
9	NUM	@card@
février	NOM	février
.	SENT	.
au	PRP:det	au
programme	NOM	programme
,	PUN	,
des	PRP:det	du
visites	NOM	visite
(	PUN	(
la	DET:ART	le
ferme	ADV	ferme
expérimentale	ADJ	expérimental
de	PRP	de
la	DET:ART	le
bonzule	NOM	bonzule
,	PUN	,
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
de	PRP	de
faulx	NOM	faulx
..).	ABR	..).
mais	KON	mais
aussi	ADV	aussi
des	PRP:det	du
arrêts	NOM	arrêt
sur	PRP	sur
images	NOM	image
dans	PRP	dans
des	PRP:det	du
communes	NOM	commune
pour	PRP	pour
se	PRO:PER	se
rapprocher	VER:infi	rapprocher
des	PRP:det	du
jeunes	NOM	jeune
,	PUN	,
des	PRP:det	du
personnes	NOM	personne
âgées	ADJ	âgé
,	PUN	,
des	PRP:det	du
choristes	NOM	choriste
,	PUN	,
des	PRP:det	du
personnes	NOM	personne
impliquées	VER:pper	impliquer
dans	PRP	dans
la	DET:ART	le
vie	NOM	vie
de	PRP	de
l'	DET:ART	le
église	NOM	église
,	PUN	,
et	KON	et
des	PRP:det	du
élus	NOM	élu
.	SENT	.
il	PRO:PER	il
convient	VER:pres	convenir|convier
de	PRP	de
retenir	VER:infi	retenir
quelques	PRO:IND	quelque
dates	NOM	date
,	PUN	,
pour	PRP	pour
prévoir	VER:infi	prévoir
celle	PRO:DEM	celui
qui	PRO:REL	qui
vous	PRO:PER	vous
conviendra	VER:futu	convenir
pour	PRP	pour
une	DET:ART	un
rencontre	NOM	rencontre
phare	NOM	phare
.	SENT	.
mardi	NOM	mardi
4	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
laneuvelotte	NOM	laneuvelotte
,	PUN	,
rencontre	NOM	rencontre
avec	PRP	avec
des	PRP:det	du
enfants	NOM	enfant
,	PUN	,
jeunes	ADJ	jeune
,	PUN	,
