«	PUN:cit	«
l'	DET:ART	le
eau	NOM	eau
est	VER:pres	être
unique	ADJ	unique
,	PUN	,
elle	PRO:PER	elle
est	VER:pres	être
l'	DET:ART	le
élément	NOM	élément
essentiel	ADJ	essentiel
à	PRP	à
toute	PRO:IND	tout
vie	NOM	vie
sur	PRP	sur
terre	NOM	terre
»,	ADJ	»,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
thème	NOM	thème
d'	PRP	de
une	DET:ART	un
exposition	NOM	exposition
très	ADV	très
intéressante	ADJ	intéressant
,	PUN	,
visible	ADJ	visible
jusqu'à	NOM	jusqu'à
la	DET:ART	le
fin	ADJ	fin
février	NOM	février
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
pays	NOM	pays
à	PRP	à
rioz	NOM	rioz
.	SENT	.
réalisée	VER:pper	réaliser
par	PRP	par
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
du	PRP:det	du
doubs	NOM	doubs
,	PUN	,
elle	PRO:PER	elle
est	VER:pres	être
prêtée	VER:pper	prêter
par	PRP	par
la	DET:ART	le
bibliothèque	NOM	bibliothèque
départementale	ADJ	départemental
de	PRP	de
prêt	ADJ	prêt
à	PRP	à
l'	DET:ART	le
association	NOM	association
et	KON	et
à	PRP	à
l'	DET:ART	le
office	NOM	office
de	PRP	de
tourisme	NOM	tourisme
du	PRP:det	du
pays	NOM	pays
des	PRP:det	du
7	NUM	@card@
rivières	NOM	rivière
.	SENT	.
quinze	NUM	quinze
panneaux	NOM	panneau
présentent	VER:pres	présenter
quinze	NUM	quinze
thèmes	NOM	thème
liés	VER:pper	lier
à	PRP	à
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
tels	PRO:DEM	tel
le	DET:ART	le
cycle	NOM	cycle
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
les	DET:ART	le
risques	NOM	risque
,	PUN	,
les	DET:ART	le
cours	NOM	cour|cours
d'	PRP	de
eau	NOM	eau
en	PRP	en
franche-comté	NOM	franche-comté
,	PUN	,
l'	DET:ART	le
entretien	NOM	entretien
des	PRP:det	du
rivières	NOM	rivière
,	PUN	,
les	DET:ART	le
moulins	NOM	moulin
,	PUN	,
les	DET:ART	le
fontaines	NOM	fontaine
et	KON	et
autres	ADJ	autre
ouvrages	NOM	ouvrage
,	PUN	,
le	DET:ART	le
traitement	NOM	traitement
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
...	PUN	...
très	ADV	très
bien	ADV	bien
illustrée	VER:pper	illustrer
,	PUN	,
cette	PRO:DEM	ce
exposition	NOM	exposition
est	VER:pres	être
aussi	ADV	aussi
ludique	ADJ	ludique
puisqu'elle	NOM	puisqu'elle
propose	VER:pres	proposer
de	PRP	de
tester	VER:infi	tester
ses	DET:POS	son
connaissances	NOM	connaissance
sur	PRP	sur
des	PRP:det	du
proverbes	NOM	proverbe
et	KON	et
dictons	VER:pres	dicter
liés	VER:pper	lier
à	PRP	à
l'	DET:ART	le
eau	NOM	eau
,	PUN	,
de	PRP	de
positionner	VER:infi	positionner
les	DET:ART	le
eaux	NOM	eau
minérales	ADJ	minéral
sur	PRP	sur
une	DET:ART	un
carte	NOM	carte
de	PRP	de
france	NOM	france
géante	NOM	géant
,	PUN	,
de	PRP	de
découvrir	VER:infi	découvrir
un	DET:ART	un
cahier	NOM	cahier
d'	PRP	de
activités	NOM	activité
,	PUN	,
un	DET:ART	un
jeu	NOM	jeu
de	PRP	de
dominos	NOM	domino
pour	PRP	pour
les	DET:ART	le
petits	NOM	petit
,	PUN	,
des	PRP:det	du
cd-rom	NOM	cd-rom
,	PUN	,
des	PRP:det	du
vidéos	NOM	vidéo
...	PUN	...
exposition	NOM	exposition
visible	ADJ	visible
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
le	DET:ART	le
vendredi	NOM	vendredi
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h.	ABR	h.
réservation	NOM	réservation
recommandée	VER:pper	recommander
pour	PRP	pour
les	DET:ART	le
groupes	NOM	groupe
.	SENT	.
contact	NOM	contact
:	PUN	:
séverine	ADJ	séverine
jobard	NOM	jobard
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
91.84	NUM	@card@
.	SENT	.
98	NUM	@card@
