ce	PRO:DEM	ce
soir	NOM	soir
:	PUN	:
arabie	NOM	arabie
saoudite	ADJ	saoudite
(	PUN	(
21	NUM	@card@
h	ABR	heure
françaises	ADJ	français
)	PUN	)
demain	ADV	demain
:	PUN	:
hongrie	VER:pper	hongrie
(	PUN	(
21	NUM	@card@
h	ABR	heure
)	PUN	)
jeudi	NOM	jeudi
:	PUN	:
argentine	ADJ	argentin
(	PUN	(
21	NUM	@card@
h	ABR	heure
)	PUN	)
samedi	NOM	samedi
:	PUN	:
croatie	NOM	croatie
(	PUN	(
18	NUM	@card@
h	ABR	heure
)	PUN	)
dimanche	NOM	dimanche
:	PUN	:
russie	VER:pper	russie
(	PUN	(
20	NUM	@card@
h	ABR	heure
)	PUN	)
ùtous	VER:pres	ùtous
les	DET:ART	le
matches	NOM	match
du	PRP:det	du
premier	NUM	premier
tour	NOM	tour
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
france	NOM	france
seront	VER:futu	être
diffusés	VER:pper	diffuser
en	PRP	en
direct	ADJ	direct
sur	PRP	sur
sport	NOM	sport
+.	ADJ	+.
