m.	ABR	m.
clausse	NOM	clausse
,	PUN	,
directeur	NOM	directeur
de	PRP	de
l'	DET:ART	le
institut	NOM	institut
médico	NOM	médico
éducatif	ADJ	éducatif
(	PUN	(
ime	VER:pper	ime
)	PUN	)
de	PRP	de
vassincourt	NOM	vassincourt
nous	PRO:PER	nous
adresse	VER:pres	adresser
une	DET:ART	un
gentille	ADJ	gentil
lettre	NOM	lettre
afin	KON	afin
de	PRP	de
nous	PRO:PER	nous
signaler	VER:infi	signaler
les	DET:ART	le
v	NOM	v
	ADJ	
ux	NOM	ux
originaux	ADJ	original
qu'	PRO:REL	que
il	PRO:PER	il
vient	VER:pres	venir
de	PRP	de
recevoir	VER:infi	recevoir
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
d'	PRP	de
un	DET:ART	un
poème	NOM	poème
envoyé	VER:pper	envoyer
par	PRP	par
alain	NOM	alain
fisnot	ADJ	fisnot
,	PUN	,
notre	DET:POS	notre
correspondant	NOM	correspondant
de	PRP	de
revigny-sur-ornain	NOM	revigny-sur-ornain
,	PUN	,
écrivain	NOM	écrivain
et	KON	et
poète	ADJ	poète
à	PRP	à
ses	DET:POS	son
heures	NOM	heure
,	PUN	,
qui	PRO:REL	qui
rend	VER:pres	rendre
si	ADV	si
bien	ADV	bien
«	PUN:cit	«
hommage	NOM	hommage
à	PRP	à
l'	DET:ART	le
ensemble	NOM	ensemble
des	PRP:det	du
travailleurs	NOM	travailleur
sociaux	ADJ	social
».	VER:simp	».
l'	DET:ART	le
enfant	NOM	enfant
qui	PRO:REL	qui
tient	VER:pres	tenir
une	DET:ART	un
lanterne	NOM	lanterne
n'	ADV	ne
éclaire	VER:pres	éclairer
qu'	KON	que
un	DET:ART	un
bout	NOM	bout
de	PRP	de
chemin	NOM	chemin
,	PUN	,
quand	KON	quand
un	DET:ART	un
grand	ADJ	grand
le	PRO:PER	le
prend	VER:pres	prendre
par	PRP	par
la	DET:ART	le
main	NOM	main
,	PUN	,
il	PRO:PER	il
rend	VER:pres	rendre
sa	DET:POS	son
route	NOM	route
moins	ADV	moins
terne	ADJ	terne
.	SENT	.
que	KON	que
de	PRP	de
magnifiques	ADJ	magnifique
moments	NOM	moment
offrez-vous	NOM	offrez-vous
à	PRP	à
tous	PRO:IND	tout
et	KON	et
à	PRP	à
toutes	PRO:IND	tout
,	PUN	,
a	VER:pres	avoir
ces	PRO:DEM	ce
chers	ADJ	cher
papas	NOM	papa|papas
et	KON	et
mamans	NOM	maman
,	PUN	,
quand	KON	quand
vous	PRO:PER	vous
écartez	VER:pres	écarter
tous	PRO:IND	tout
leurs	DET:POS	leur
doutes	NOM	doute
!	SENT	!
et	KON	et
quand	KON	quand
s'	PRO:PER	se
ouvrent	VER:pres	ouvrer|ouvrir
les	DET:ART	le
c	NOM	c
	ADJ	
urs	NOM	urs
hagards	ADJ	hagard
,	PUN	,
pas	ADV	pas
étonnant	ADJ	étonnant
qu'	KON	que
à	PRP	à
l'	DET:ART	le
ime	NOM	ime
on	PRO:PER	on
voie	VER:subp	voir
sourires	NOM	sourire
et	KON	et
regards	NOM	regard
de	PRP	de
ces	PRO:DEM	ce
enfants	NOM	enfant
dire	VER:infi	dire
:	PUN	:
«	PUN:cit	«
je	PRO:PER	je
t'	PRO:PER	te
aime	VER:pres	aimer
!	SENT	!
»	PUN:cit	»
que	KON	que
pour	PRP	pour
ce	PRO:DEM	ce
travail	NOM	travail
fabuleux	ADJ	fabuleux
,	PUN	,
la	DET:ART	le
gloire	NOM	gloire
vous	PRO:PER	vous
soit	VER:subp	être
destinée	VER:pper	destiner
.	SENT	.
et	KON	et
recevez	VER:pres	recevoir
mes	DET:POS	mon
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
la	DET:ART	le
toute	PRO:IND	tout
nouvelle	ADJ	nouveau
année	NOM	année
.	SENT	.
