c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
14	NUM	@card@
h	ABR	heure
50	NUM	@card@
le	DET:ART	le
25	NUM	@card@
janvier	NOM	janvier
,	PUN	,
qu'	PRO:REL	que
est	VER:pres	être
né	VER:pper	naître
,	PUN	,
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
régionale	ADJ	régional
de	PRP	de
nancy	NOM	nancy
,	PUN	,
le	DET:ART	le
petit	ADJ	petit
dimitri	NOM	dimitri
.	SENT	.
d'	PRP	de
un	DET:ART	un
poids	NOM	poids
de	PRP	de
3,500	NUM	@card@
k	NOM	k
g	VER:subi	g
et	KON	et
d'	PRP	de
une	DET:ART	un
taille	NOM	taille
de	PRP	de
49,5	NUM	@card@
cm	NOM	cm
à	PRP	à
sa	DET:POS	son
venue	NOM	venu|venue
au	PRP:det	au
monde	NOM	monde
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
homme	NOM	homme
est	VER:pres	être
le	DET:ART	le
deuxième	NUM	deuxième
enfant	NOM	enfant
de	PRP	de
nathalie	NOM	nathalie
régnier	NOM	régnier
et	KON	et
d'	PRP	de
eric	ADJ	eric
simon	NOM	simon
,	PUN	,
domicliés	VER:pper	domicliés
,	PUN	,
route	NOM	route
nationale	ADJ	national
,	PUN	,
où	PRO:REL	où
l'	DET:ART	le
y	PRO:PER	y
attend	VER:pres	attendre
avec	PRP	avec
impatience	NOM	impatience
sa	DET:POS	son
soeur	NOM	sœur
,	PUN	,
clara	NOM	clara
,	PUN	,
âgée	ADJ	âgé
de	PRP	de
deux	NUM	deux
ans	NOM	an
et	KON	et
demi	NOM	demi
.	SENT	.
sincères	ADJ	sincère
félicitations	NOM	félicitation
.	SENT	.
