perdue	VER:pper	perdre
dans	PRP	dans
la	DET:ART	le
région	NOM	région
de	PRP	de
myon	NOM	myon
,	PUN	,
depuis	PRP	depuis
jeudi	NOM	jeudi
9	NUM	@card@
janvier	NOM	janvier
,	PUN	,
une	DET:ART	un
chienne	NOM	chien|chienne
type	VER:pres	typer
bruno	NOM	bruno
saint-hubert	NOM	saint-hubert
,	PUN	,
noir	ADJ	noir
et	KON	et
feu	ADJ	feu
,	PUN	,
répondant	VER:ppre	répondre
au	PRP:det	au
nom	NOM	nom
de	PRP	de
«	PUN:cit	«
perdri	NOM	perdri
»,	ADJ	»,
avec	PRP	avec
un	DET:ART	un
collier	NOM	collier
cuir	NOM	cuir
et	KON	et
orange	ADJ	orange
fluo	NOM	fluo
.	SENT	.
contacter	VER:infi	contacter
le	DET:ART	le
03.84	NUM	@card@
.	SENT	.
73.11	NUM	@card@
.	SENT	.
57	NUM	@card@
