il	PRO:PER	il
était	VER:impf	être
18	NUM	@card@
h	ABR	heure
04	NUM	@card@
lorsque	KON	lorsque
le	DET:ART	le
centre	NOM	centre
de	PRP	de
secours	NOM	secours
de	PRP	de
granges-sur-vologne	NOM	granges-sur-vologne
a	VER:pres	avoir
été	VER:pper	être
appelé	VER:pper	appeler
pour	PRP	pour
combattre	VER:infi	combattre
un	DET:ART	un
début	NOM	début
d'	PRP	de
incendie	NOM	incendie
dû	VER:pper	devoir
à	PRP	à
la	DET:ART	le
surchauffe	NOM	surchauffe
d'	PRP	de
un	DET:ART	un
insert	NOM	insert
de	PRP	de
cheminée	NOM	cheminée
dans	PRP	dans
une	DET:ART	un
habitation	NOM	habitation
de	PRP	de
la	DET:ART	le
route	NOM	route
de	PRP	de
donmeix	NOM	donmeix
à	PRP	à
champdray	NOM	champdray
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
des	PRP:det	du
sapeurs	NOM	sapeur
pompiers	ADJ	pompier
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
de	PRP	de
champdray	NOM	champdray
étaient	VER:impf	être
déjà	ADV	déjà
sur	PRP	sur
place	NOM	place
.	SENT	.
les	DET:ART	le
dégâts	NOM	dégât
sont	VER:pres	être
peu	ADV	peu
importants	ADJ	important
.	SENT	.
