mardi	NOM	mardi
:	PUN	:
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
commerçants	NOM	commerçant
et	KON	et
artisans	NOM	artisan
maxois	ADJ	maxois
,	PUN	,
au	PRP:det	au
château	NOM	château
du	PRP:det	du
pont	NOM	pont
de	PRP	de
la	DET:ART	le
meurthe	NOM	meurthe
.	SENT	.
mercredi	NOM	mercredi
:	PUN	:
à	PRP	à
partir	VER:infi	partir
de	PRP	de
19	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
foyer	NOM	foyer
familial	ADJ	familial
,	PUN	,
cérémonie	NOM	cérémonie
de	PRP	de
v	NOM	v
	ADJ	
ux	ADJ	ux
à	PRP	à
l'	DET:ART	le
attention	NOM	attention
du	PRP:det	du
personnel	NOM	personnel
municipal	ADJ	municipal
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
,	PUN	,
cérémonie	NOM	cérémonie
de	PRP	de
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
sein	NOM	sein
du	PRP:det	du
cercle	NOM	cercle
des	PRP:det	du
anciens	NOM	ancien
et	KON	et
des	PRP:det	du
retraités	NOM	retraité
maxois	ADJ	maxois
,	PUN	,
au	PRP:det	au
foyer	NOM	foyer
familial	ADJ	familial
.	SENT	.
avec	PRP	avec
partage	NOM	partage
de	PRP	de
la	DET:ART	le
galette	NOM	galette
des	PRP:det	du
rois	NOM	roi
et	KON	et
animation	NOM	animation
surprise	VER:pper	surprendre
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
sortie	VER:pper	sortir
avec	PRP	avec
les	DET:ART	le
randonneurs	NOM	randonneur
de	PRP	de
saint-max	NOM	saint-max
,	PUN	,
essey	NOM	essey
,	PUN	,
malzéville	NOM	malzéville
.	SENT	.
secteur	NOM	secteur
forêt	NOM	forêt
d'	PRP	de
amance	NOM	amance
.	SENT	.
10	NUM	@card@
km	ABR	kilomètre
,	PUN	,
durée	VER:pper	durer
3	NUM	@card@
h.	ABR	h.
départ	NOM	départ
à	PRP	à
13	NUM	@card@
h	ABR	heure
15	NUM	@card@
du	PRP:det	du
parking	NOM	parking
match	NOM	match
.	SENT	.
animateur	NOM	animateur
:	PUN	:
gérard	NOM	gérard
,	PUN	,
03.83	NUM	@card@
.	SENT	.
21.45	NUM	@card@
.	SENT	.
95	NUM	@card@
a	VER:pres	avoir
partir	VER:infi	partir
de	PRP	de
19	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
membres	NOM	membre
de	PRP	de
la	DET:ART	le
fnaca	NOM	fnaca
échangeront	VER:futu	échanger
leurs	DET:POS	leur
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
château	NOM	château
du	PRP:det	du
pont	NOM	pont
de	PRP	de
la	DET:ART	le
meurthe	NOM	meurthe
.	SENT	.
rencontre	VER:pres	rencontrer
suivie	VER:pper	suivre
d'	PRP	de
un	DET:ART	un
repas	NOM	repas
pris	VER:pper	prendre
en	PRP	en
commun	NOM	commun
.	SENT	.
samedi	NOM	samedi
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
consultations	NOM	consultation
juridiques	ADJ	juridique
gratuites	ADJ	gratuit
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
annexe	ADJ	annexe
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
des	PRP:det	du
bénévoles	NOM	bénévole
au	PRP:det	au
foyer	NOM	foyer
familial	ADJ	familial
;	PUN	;
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
boule	NOM	boule
maxoise	ADJ	maxoise
»,	ADJ	»,
au	PRP:det	au
château	NOM	château
du	PRP:det	du
pont	NOM	pont
de	PRP	de
la	DET:ART	le
meurthe	NOM	meurthe
.	SENT	.
dimanche	NOM	dimanche
:	PUN	:
nouvelle	ADJ	nouveau
sortie	NOM	sortie
avec	PRP	avec
les	DET:ART	le
randonneurs	NOM	randonneur
.	SENT	.
secteur	NOM	secteur
houdemont	NOM	houdemont
,	PUN	,
les	DET:ART	le
drouines	NOM	drouines
.	SENT	.
jumelles	NOM	jumelle
