lors	ADV	lors
de	PRP	de
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
«	PUN:cit	«
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
»,	ADJ	»,
rené	VER:pper	renaître
deutzer	NOM	deutzer
,	PUN	,
adjoint	VER:pper	adjoindre
,	PUN	,
représentant	VER:ppre	représenter
la	DET:ART	le
commission	NOM	commission
environnement	NOM	environnement
,	PUN	,
a	VER:pres	avoir
décerné	VER:pper	décerner
les	DET:ART	le
prix	NOM	prix
du	PRP:det	du
concours	NOM	concours
maisons	NOM	maison
fleuries	VER:pper	fleurir
.	SENT	.
dans	PRP	dans
la	DET:ART	le
catégorie	NOM	catégorie
façade	NOM	façade
avec	PRP	avec
balcon	NOM	balcon
,	PUN	,
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
revient	VER:pres	revenir
à	PRP	à
jean	NOM	jean
marie	VER:pres	marier
lang	NOM	lang
;	PUN	;
2	NUM	@card@
e	ADJ	e
prix	NOM	prix
à	PRP	à
l'	DET:ART	le
auberge	NOM	auberge
des	PRP:det	du
voyageurs	NOM	voyageur
;	PUN	;
3	NUM	@card@
e	ADJ	e
prix	NOM	prix
à	PRP	à
gilbert	NOM	gilbert
firtion	NOM	firtion
;	PUN	;
4	NUM	@card@
e	ADJ	e
prix	NOM	prix
à	PRP	à
carlo	ADJ	carlo
roi	NOM	roi
;	PUN	;
4	NUM	@card@
e	ADJ	e
prix	NOM	prix
à	PRP	à
charles	ADJ	charles
tornambe	NOM	tornambe
.	SENT	.
concernant	VER:ppre	concerner
les	DET:ART	le
maisons	NOM	maison
avec	PRP	avec
jardin	NOM	jardin
visible	ADJ	visible
de	PRP	de
la	DET:ART	le
rue	NOM	rue
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
prix	NOM	prix
,	PUN	,
daniel	ADJ	daniel
grosse	NOM	gros|grosse
,	PUN	,
2	NUM	@card@
e	ADJ	e
prix	NOM	prix
,	PUN	,
gilbert	NOM	gilbert
brodier	NOM	brodier
;	PUN	;
3	NUM	@card@
e	ADJ	e
prix	NOM	prix
,	PUN	,
thierry	NOM	thierry
schupp	NOM	schupp
;	PUN	;
4	NUM	@card@
e	ADJ	e
prix	NOM	prix
,	PUN	,
marcel	NOM	marcel
andrieux	ADJ	andrieux
,	PUN	,
le	DET:ART	le
5	NUM	@card@
e	ADJ	e
prix	NOM	prix
revenant	VER:ppre	revenir
à	PRP	à
andré	NOM	andré
lorrain	ADJ	lorrain
.	SENT	.
