elle	PRO:PER	elle
aura	VER:futu	avoir
lieu	NOM	lieu
dans	PRP	dans
les	DET:ART	le
locaux	NOM	local
de	PRP	de
l'	DET:ART	le
est	NOM	est
républicain	ADJ	républicain
,	PUN	,
avenue	NOM	avenue
de	PRP	de
lattre	VER:infi	lattre
de	PRP	de
tassigny	NOM	tassigny
à	PRP	à
epinal	NOM	epinal
à	PRP	à
la	DET:ART	le
fin	NOM	fin
de	PRP	de
ce	PRO:DEM	ce
mois	NOM	moi|mois
.	SENT	.
conformément	ADV	conformément
à	PRP	à
notre	DET:POS	notre
réglement	NOM	réglement
,	PUN	,
les	DET:ART	le
vingt	NUM	vingt
premiers	NOM	premier
du	PRP:det	du
classement	NOM	classement
général	ADJ	général
ainsi	ADV	ainsi
que	KON	que
les	DET:ART	le
trois	NUM	trois
premiers	NOM	premier
de	PRP	de
chacune	PRO:IND	chacun
des	PRP:det	du
catégorie	NOM	catégorie
annexes	ADJ	annexe
(	PUN	(
brochet	NOM	brochet
,	PUN	,
truite	NOM	truite
,	PUN	,
cyprinidés	NOM	cyprinidés
,	PUN	,
jeunes	ADJ	jeune
),	NOM	),
seront	VER:futu	être
récompensés	VER:pper	récompenser
:	PUN	:
un	DET:ART	un
séjour	NOM	séjour
d'	PRP	de
une	DET:ART	un
semaine	NOM	semaine
de	PRP	de
pêche	NOM	pêche
en	PRP	en
irlande	NOM	irlande
pour	PRP	pour
le	DET:ART	le
grand	ADJ	grand
vainqueur	NOM	vainqueur
de	PRP	de
cette	PRO:DEM	ce
troisième	NUM	troisième
édition	NOM	édition
,	PUN	,
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
conjointe	ADJ	conjoint
de	PRP	de
notre	DET:POS	notre
journal	NOM	journal
et	KON	et
l'	DET:ART	le
association	NOM	association
nancéienne	NOM	nancéienne
club	NOM	club
esox-efp	NOM	esox-efp
.	SENT	.
des	PRP:det	du
cannes	NOM	canne
,	PUN	,
moulinets	NOM	moulinet
,	PUN	,
leurres	NOM	leurre
,	PUN	,
revues	VER:pper	revoir
,	PUN	,
cassettes	NOM	cassette
vidéo	ADJ	vidéo
et	KON	et
autres	ADJ	autre
vêtements	NOM	vêtement
de	PRP	de
pêche	NOM	pêche
iront	VER:futu	aller
aux	PRP:det	au
autres	ADJ	autre
lauréats	NOM	lauréat
.	SENT	.
au	PRP:det	au
total	ADJ	total
plusieurs	PRO:IND	plusieurs
milliers	NOM	millier
d'	PRP	de
euros	NOM	euro
de	PRP	de
matériel	NOM	matériel
seront	VER:futu	être
offerts	VER:pper	offrir
à	PRP	à
nouveau	ADJ	nouveau
à	PRP	à
cette	PRO:DEM	ce
occasion	NOM	occasion
.	SENT	.
les	DET:ART	le
pêcheurs	NOM	pêcheur
concernés	VER:pper	concerner
recevront	VER:futu	recevoir
une	DET:ART	un
invitation	NOM	invitation
dans	PRP	dans
les	DET:ART	le
prochains	ADJ	prochain
jours	NOM	jour
.	SENT	.
