lors	ADV	lors
de	PRP	de
sa	DET:POS	son
dernière	ADJ	dernier
réunion	NOM	réunion
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
a	VER:pres	avoir
statué	VER:pper	statuer
sur	PRP	sur
les	DET:ART	le
sujets	NOM	sujet
suivants	ADJ	suivant
:	PUN	:
contrat	NOM	contrat
d'	PRP	de
embauche	NOM	embauche
du	PRP:det	du
personnel	NOM	personnel
en	PRP	en
2003	NUM	@card@
les	DET:ART	le
contrats	NOM	contrat
de	PRP	de
recrutement	NOM	recrutement
du	PRP:det	du
personnel	NOM	personnel
temporaire	ADJ	temporaire
à	PRP	à
durée	NOM	durée
déterminée	VER:pper	déterminer
pour	PRP	pour
le	DET:ART	le
fleurissement	NOM	fleurissement
ou	KON	ou
le	DET:ART	le
remplacement	NOM	remplacement
du	PRP:det	du
personnel	NOM	personnel
en	PRP	en
maladie	NOM	maladie
,	PUN	,
ou	KON	ou
en	PRP	en
congés	NOM	congé
seront	VER:futu	être
renouvelés	VER:pper	renouveler
.	SENT	.
l'	PRO:PER	la|le
entrepris	VER:pper	entreprendre
colas	NOM	colas
est	VER:pres	être
retenue	VER:pper	retenir
pour	PRP	pour
la	DET:ART	le
réfection	NOM	réfection
des	PRP:det	du
caniveaux	NOM	caniveau
route	NOM	route
de	PRP	de
chenebier	NOM	chenebier
pour	PRP	pour
un	DET:ART	un
coût	NOM	coût
de	PRP	de
13.600	NUM	@card@
	NOM	
ttc	ADJ	ttc
.	SENT	.
sied	VER:pres	seoir
.	SENT	.
la	DET:ART	le
commune	NOM	commune
d'	PRP	de
etobon	NOM	etobon
accepte	VER:pres	accepter
l'	DET:ART	le
adhésion	NOM	adhésion
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
greucourt	NOM	greucourt
et	KON	et
cresansey	NOM	cresansey
.	SENT	.
elle	PRO:PER	elle
accepte	VER:pres	accepter
le	DET:ART	le
retrait	NOM	retrait
des	PRP:det	du
communes	NOM	commune
de	PRP	de
:	PUN	:
recologne	NOM	recologne
,	PUN	,
blerioz	NOM	blerioz
et	KON	et
de	PRP	de
neurey-les-la-demie	NOM	neurey-les-la-demie
de	PRP	de
ce	PRO:DEM	ce
syndicat	NOM	syndicat
d'	PRP	de
électricité	NOM	électricité
départemental	ADJ	départemental
.	SENT	.
les	DET:ART	le
prochaines	ADJ	prochain
réunions	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
d'	PRP	de
etobon	NOM	etobon
auront	VER:futu	avoir
lieu	NOM	lieu
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
21	NUM	@card@
mars	NOM	mars
,	PUN	,
16	NUM	@card@
mai	NOM	mai
,	PUN	,
21	NUM	@card@
juin	NOM	juin
et	KON	et
21	NUM	@card@
juillet	NOM	juillet
.	SENT	.
