hier	ADV	hier
,	PUN	,
à	PRP	à
16	NUM	@card@
heures	NOM	heure
30	NUM	@card@
la	DET:ART	le
conductrice	NOM	conducteur
d'	PRP	de
une	DET:ART	un
voiturette	NOM	voiturette
qui	PRO:REL	qui
empruntait	VER:impf	emprunter
la	DET:ART	le
route	NOM	route
de	PRP	de
zincourt	NOM	zincourt
,	PUN	,
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
sur	PRP	sur
la	DET:ART	le
chaussée	NOM	chaussée
glissante	ADJ	glissant
et	KON	et
a	VER:pres	avoir
terminé	VER:pper	terminer
sa	DET:POS	son
course	NOM	course
dans	PRP	dans
un	DET:ART	un
champ	NOM	champ
.	SENT	.
se	PRO:PER	se
plaignant	VER:ppre	plaindre
de	PRP	de
contusions	NOM	contusion
multiples	ADJ	multiple
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
été	VER:pper	être
dirigée	VER:pper	diriger
sur	PRP	sur
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
jean	NOM	jean
monnet	NOM	monnet
pour	PRP	pour
y	PRO:PER	y
subir	VER:infi	subir
des	PRP:det	du
radios	NOM	radio
de	PRP	de
contrôle	NOM	contrôle
.	SENT	.
les	DET:ART	le
pompiers	ADJ	pompier
chanovax	NOM	chanovax
,	PUN	,
le	DET:ART	le
vsr	NOM	vsr
de	PRP	de
charmes	NOM	charme
et	KON	et
la	DET:ART	le
gendarmerie	NOM	gendarmerie
de	PRP	de
chatel	NOM	chatel
étaient	VER:impf	être
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
.	SENT	.
