aujourd'hui	ADV	aujourd'hui
:	PUN	:
céleri	NOM	céleri
rémoulade	NOM	rémoulade
,	PUN	,
gratin	NOM	gratin
de	PRP	de
pâtes	NOM	pâte
au	PRP:det	au
jambon	NOM	jambon
,	PUN	,
fromage	NOM	fromage
,	PUN	,
cocktail	NOM	cocktail
de	PRP	de
fruits	NOM	fruit
au	PRP:det	au
coulis	NOM	coulis
de	PRP	de
fraise	NOM	fraise
.	SENT	.
mardi	NOM	mardi
:	PUN	:
potage	NOM	potage
,	PUN	,
carottes	ADJ	carotte
aux	PRP:det	au
lardons	NOM	lardon
,	PUN	,
rôti	VER:pper	rôtir
de	PRP	de
dindonneau	NOM	dindonneau
,	PUN	,
fromage	NOM	fromage
,	PUN	,
beignets	NOM	beignet
.	SENT	.
mercredi	NOM	mercredi
:	PUN	:
tomates	NOM	tomate
mimosa	NOM	mimosa
,	PUN	,
saucisses-lentilles	NOM	saucisses-lentilles
,	PUN	,
fromage	NOM	fromage
,	PUN	,
yaourt	NOM	yaourt
,	PUN	,
biscuit	NOM	biscuit
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
quiche	NOM	quiche
lorraine	ADJ	lorrain
,	PUN	,
poêlée	VER:pper	poêler
de	PRP	de
brocolis	NOM	brocoli
et	KON	et
champignons	NOM	champignon
,	PUN	,
boulettes	NOM	boulette
de	PRP	de
b	ADJ	b
	NOM	
uf	ADJ	uf
,	PUN	,
fromage	NOM	fromage
,	PUN	,
clafoutis	NOM	clafouti|clafoutis
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
endives	NOM	endive
aux	PRP:det	au
dés	NOM	dé
de	PRP	de
jambon	NOM	jambon
,	PUN	,
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
vapeur	NOM	vapeur
,	PUN	,
poisson	NOM	poisson
pané	ADJ	pané
,	PUN	,
fromage	NOM	fromage
,	PUN	,
mousse	NOM	mousse
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
