chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
le	DET:ART	le
maire	NOM	maire
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
et	KON	et
les	DET:ART	le
agents	NOM	agent
communaux	ADJ	communal
de	PRP	de
rioz	NOM	rioz
partagent	VER:pres	partager
un	DET:ART	un
moment	NOM	moment
convivial	ADJ	convivial
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
des	PRP:det	du
voeux	NOM	vœu
du	PRP:det	du
premier	NUM	premier
magistrat	NOM	magistrat
.	SENT	.
roger	VER:infi	roger
robinet	NOM	robinet
a	VER:pres	avoir
tenu	VER:pper	tenir
à	PRP	à
féliciter	VER:infi	féliciter
le	DET:ART	le
personnel	NOM	personnel
communal	ADJ	communal
pour	PRP	pour
le	DET:ART	le
savoir-faire	NOM	savoir-faire
et	KON	et
l'	DET:ART	le
efficacité	NOM	efficacité
manifestés	VER:pper	manifester
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
tant	ADV	tant
sur	PRP	sur
le	DET:ART	le
plan	NOM	plan
administratif	ADJ	administratif
(	PUN	(
pour	PRP	pour
le	DET:ART	le
personnel	NOM	personnel
féminin	ADJ	féminin
)	PUN	)
que	KON	que
sur	PRP	sur
le	DET:ART	le
terrain	NOM	terrain
,	PUN	,
pour	PRP	pour
les	DET:ART	le
hommes	NOM	homme
.	SENT	.
«	PUN:cit	«
je	PRO:PER	je
souhaite	VER:pres	souhaiter
qu'	KON	que
en	PRP	en
2003	NUM	@card@
vous	PRO:PER	vous
donniez	VER:impf	donner
la	DET:ART	le
même	ADJ	même
image	NOM	image
positive	ADJ	positif
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
qui	PRO:REL	qui
,	PUN	,
n'	ADV	ne
en	PRO:PER	en
doutons	VER:pres	douter
pas	ADV	pas
,	PUN	,
ne	ADV	ne
manquera	VER:futu	manquer
pas	ADV	pas
de	PRP	de
travail	NOM	travail
»,	ADJ	»,
a	VER:pres	avoir
déclaré	VER:pper	déclarer
le	DET:ART	le
premier	NUM	premier
adjoint	NOM	adjoint
,	PUN	,
faisant	VER:ppre	faire
allusion	NOM	allusion
aux	PRP:det	au
nombreux	ADJ	nombreux
travaux	NOM	travail
en	PRP	en
cours	NOM	cour|cours
et	KON	et
à	PRP	à
venir	VER:infi	venir
dans	PRP	dans
le	DET:ART	le
chef-lieu	NOM	chef-lieu
où	PRO:REL	où
beaucoup	ADV	beaucoup
de	PRP	de
chantiers	NOM	chantier
sont	VER:pres	être
ouverts	VER:pper	ouvrir
:	PUN	:
bureaux	NOM	bureau
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
camping	NOM	camping
municipal	ADJ	municipal
,	PUN	,
maison	NOM	maison
familiale	ADJ	familial
...	PUN	...
une	DET:ART	un
réunion	NOM	réunion
très	ADV	très
conviviale	ADJ	convivial
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
poursuivie	VER:pper	poursuivre
par	PRP	par
un	DET:ART	un
repas-buffet	NOM	repas-buffet
.	SENT	.
