hier	ADV	hier
matin	NOM	matin
vers	PRP	vers
8	NUM	@card@
h	ABR	heure
45	NUM	@card@
une	DET:ART	un
patrouille	NOM	patrouille
de	PRP	de
police	NOM	police
est	VER:pres	être
intervenue	VER:pper	intervenir
dans	PRP	dans
la	DET:ART	le
zone	NOM	zone
industrielle	ADJ	industriel
de	PRP	de
golbey	NOM	golbey
pour	PRP	pour
constater	VER:infi	constater
un	DET:ART	un
vol	NOM	vol
par	PRP	par
effraction	NOM	effraction
aux	PRP:det	au
ets	NOM	ets
lardet-babcock	ADJ	lardet-babcock
.	SENT	.
les	DET:ART	le
individus	NOM	individu
qui	PRO:REL	qui
ont	VER:pres	avoir
pénétré	VER:pper	pénétrer
dans	PRP	dans
l'	DET:ART	le
enceinte	NOM	enceinte
durant	PRP	durant
la	DET:ART	le
nuit	NOM	nuit
se	PRO:PER	se
sont	VER:pres	être
emparés	VER:pper	emparer
de	PRP	de
cinq	NUM	cinq
ordinateurs	NOM	ordinateur
.	SENT	.
plainte	NOM	plainte
a	VER:pres	avoir
été	VER:pper	être
déposée	VER:pper	déposer
.	SENT	.
