aujourd'hui	ADV	aujourd'hui
,	PUN	,
messe	NOM	messe
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
mouilly	NOM	mouilly
.	SENT	.
demain	ADV	demain
,	PUN	,
messes	NOM	messe
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
braquis	NOM	braquis
et	KON	et
hannonville	NOM	hannonville
;	PUN	;
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
herbeuville	NOM	herbeuville
;	PUN	;
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
harville	NOM	harville
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
à	PRP	à
hattonville	NOM	hattonville
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
lachaussée	NOM	lachaussée
et	KON	et
saint-maurice	NOM	saint-maurice
.	SENT	.
