chaque	PRO:IND	chaque
dimanche	NOM	dimanche
impair	ADJ	impair
,	PUN	,
au	PRP:det	au
musée	NOM	musée
français	ADJ	français
de	PRP	de
la	DET:ART	le
brasserie	NOM	brasserie
,	PUN	,
un	DET:ART	un
brasseur	NOM	brasseur
amateur	NOM	amateur
transforme	VER:pres	transformer
l'	DET:ART	le
eau	NOM	eau
en	PRP	en
bière	NOM	bière
.	SENT	.
d'	PRP	de
après	PRP	après
une	DET:ART	un
recette	NOM	recette
qui	PRO:REL	qui
a	VER:pres	avoir
fait	VER:pper	faire
ses	DET:POS	son
preuves	NOM	preuve
.	SENT	.
la	DET:ART	le
piccolo	NOM	piccolo
brasserie	NOM	brasserie
du	PRP:det	du
musée	NOM	musée
est	VER:pres	être
ainsi	ADV	ainsi
devenue	VER:pper	devenir
le	DET:ART	le
lieu	NOM	lieu
où	PRO:REL	où
l'	DET:ART	le
on	PRO:PER	on
peut	VER:pres	pouvoir
s'	PRO:PER	se
exercer	VER:infi	exercer
à	PRP	à
fabriquer	VER:infi	fabriquer
une	DET:ART	un
bière	NOM	bière
en	PRP	en
petite	ADJ	petit
quantité	NOM	quantité
en	PRP	en
ajoutant	VER:ppre	ajouter
une	DET:ART	un
petite	ADJ	petit
touche	NOM	touche
personnelle	ADJ	personnel
qui	PRO:REL	qui
agrémentera	VER:futu	agrémenter
le	DET:ART	le
goût	NOM	goût
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
stéphane	ADJ	stéphane
herment	NOM	herment
s'	PRO:PER	se
est	VER:pres	être
employé	VER:pper	employer
à	PRP	à
réaliser	VER:infi	réaliser
une	DET:ART	un
bière	NOM	bière
de	PRP	de
mars	NOM	mars
.	SENT	.
membre	NOM	membre
du	PRP:det	du
musée	NOM	musée
,	PUN	,
ce	PRO:DEM	ce
brasseur	NOM	brasseur
n'	ADV	ne
en	PRO:PER	en
est	VER:pres	être
pas	ADV	pas
à	PRP	à
sa	DET:POS	son
première	NUM	premier
bière	NOM	bière
puisqu'il	ADJ	puisqu'il
occupe	VER:pres	occuper
souvent	ADV	souvent
la	DET:ART	le
micro-brasserie	NOM	micro-brasserie
où	PRO:REL	où
il	PRO:PER	il
exerce	VER:pres	exercer
son	DET:POS	son
art	NOM	art
.	SENT	.
hier	ADV	hier
,	PUN	,
il	PRO:PER	il
accueillait	VER:impf	accueillir
trois	NUM	trois
élèves	NOM	élève
de	PRP	de
1	NUM	@card@
è	NOM	è
re	VER:subi	re
scientifique	ADJ	scientifique
au	PRP:det	au
lycée	NOM	lycée
loritz	ADJ	loritz
qui	PRO:REL	qui
devaient	VER:impf	devoir
,	PUN	,
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
leurs	DET:POS	leur
études	NOM	étude
,	PUN	,
effectuer	VER:infi	effectuer
un	DET:ART	un
t.p	NOM	t.p
.	SENT	.
«	PUN:cit	«
cela	PRO:DEM	cela
nous	PRO:PER	nous
intéresse	VER:pres	intéresser
