m.	ABR	m.
marcel	NOM	marcel
liaute	VER:pres	liaute
53	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
goulotte	NOM	goulotte
54136	NUM	@card@
bouxières-aux-dames	NOM	bouxières-aux-dames
j'	PRO:PER	je
ai	VER:pres	avoir
été	VER:pper	être
surpris	VER:pper	surprendre
et	KON	et
choqué	VER:pper	choquer
par	PRP	par
les	DET:ART	le
articles	NOM	article
concernant	VER:ppre	concerner
la	DET:ART	le
fusée	NOM	fusée
européenne	ADJ	européen
ariane	NOM	ariane
5	NUM	@card@
dernière	ADJ	dernier
version	NOM	version
.	SENT	.
il	PRO:PER	il
est	VER:pres	être
exagéré	VER:pper	exagérer
de	PRP	de
faire	VER:infi	faire
état	NOM	état
de	PRP	de
cuisant	ADJ	cuisant
échec	NOM	échec
et	KON	et
de	PRP	de
coup	NOM	coup
très	ADV	très
dur	ADJ	dur
,	PUN	,
puisque	KON	puisque
il	PRO:PER	il
n'	ADV	ne
y	PRO:PER	y
a	VER:pres	avoir
pas	ADV	pas
de	PRP	de
perte	NOM	perte
humaine	ADJ	humain
.	SENT	.
contrairement	ADV	contrairement
à	PRP	à
d'	PRP	de
autres	ADJ	autre
lancements	NOM	lancement
par	PRP	par
les	DET:ART	le
concurrents	NOM	concurrent
d'	PRP	de
eads	NOM	eads
,	PUN	,
ce	PRO:DEM	ce
genre	NOM	genre
d'	PRP	de
opération	NOM	opération
ne	ADV	ne
peut	VER:pres	pouvoir
se	PRO:PER	se
faire	VER:infi	faire
que	KON	que
par	PRP	par
essais	NOM	essai
complets	ADJ	complet
avec	PRP	avec
lancements	NOM	lancement
réels	ADJ	réel
et	KON	et
il	PRO:PER	il
ne	ADV	ne
fait	VER:pper	faire
aucun	PRO:IND	aucun
doute	NOM	doute
que	KON	que
les	DET:ART	le
scientifiques	ADJ	scientifique
et	KON	et
ingénieurs	NOM	ingénieur
qui	PRO:REL	qui
travaillent	VER:pres	travailler
sur	PRP	sur
un	DET:ART	un
ensemble	NOM	ensemble
aussi	ADV	aussi
complexe	ADJ	complexe
,	PUN	,
résoudront	VER:futu	résoudre
le	DET:ART	le
problème	NOM	problème
technique	ADJ	technique
et	KON	et
que	KON	que
le	DET:ART	le
fonctionnement	NOM	fonctionnement
d'	PRP	de
ariane	NOM	ariane
super	ADJ	super
cinq	NOM	cinq
reprendra	VER:futu	reprendre
comme	ADV	comme
pour	PRP	pour
les	DET:ART	le
séries	NOM	série
précédentes	ADJ	précédent
,	PUN	,
pour	PRP	pour
le	DET:ART	le
plus	ADV	plus
grand	ADJ	grand
bien	ADV	bien
de	PRP	de
l'	DET:ART	le
europe	NOM	europe
.	SENT	.
l'	PRO:PER	la|le
on	PRO:PER	on
ne	ADV	ne
parle	VER:pres	parler
pas	ADV	pas
suffisamment	ADV	suffisamment
des	PRP:det	du
brillantes	ADJ	brillant
réussites	NOM	réussite
européennes	ADJ	européen
,	PUN	,
voire	ADV	voire
simplement	ADV	simplement
françaises	ADJ	français
et	KON	et
qui	PRO:REL	qui
apportent	VER:pres	apporter
de	PRP	de
grandes	ADJ	grand
connaissances	NOM	connaissance
ou	KON	ou
une	DET:ART	un
balance	NOM	balance
commerciale	ADJ	commercial
des	PRP:det	du
comptes	NOM	compte
très	ADV	très
positive	ADJ	positif
,	PUN	,
comme	KON	comme
celles	PRO:DEM	celui
générées	VER:pper	générer
par	PRP	par
le	DET:ART	le
succès	NOM	succès
d'	PRP	de
airbus	NOM	airbus
ou	KON	ou
celui	PRO:DEM	celui
de	PRP	de
la	DET:ART	le
construction	NOM	construction
navale	ADJ	naval
avec	PRP	avec
les	DET:ART	le
paquebots	NOM	paquebot
de	PRP	de
croisière	NOM	croisière
qui	PRO:REL	qui
sortent	VER:pres	sortir
des	PRP:det	du
chantiers	NOM	chantier
de	PRP	de
saint-nazaire	NOM	saint-nazaire
.	SENT	.
de	PRP	de
même	ADV	même
pour	PRP	pour
la	DET:ART	le
construction	NOM	construction
navale	ADJ	naval
de	PRP	de
plaisance	NOM	plaisance
qui	PRO:REL	qui
,	PUN	,
semble-t-il	NOM	semble-t-il
,	PUN	,
représente	VER:pres	représenter
50	NUM	@card@
%	SYM	%
de	PRP	de
la	DET:ART	le
production	NOM	production
mondiale	ADJ	mondial
et	KON	et
qui	PRO:REL	qui
,	PUN	,
victime	VER:pres	victimer
de	PRP	de
son	DET:POS	son
succès	NOM	succès
,	PUN	,
manque	VER:pres	manquer
actuellement	ADV	actuellement
de	PRP	de
main-d	NOM	main-d
	ADJ	
uvre	NOM	uvre
.	SENT	.
sans	PRP	sans
oublier	VER:infi	oublier
«	PUN:cit	«
eurospace	NOM	eurospace
»,	ADJ	»,
très	ADV	très
mal	ADV	mal
connue	VER:pper	connaître
avec	PRP	avec
l'	DET:ART	le
observatoire	NOM	observatoire
européen	ADJ	européen
établi	VER:pper	établir
sur	PRP	sur
les	DET:ART	le
sommets	NOM	sommet
des	PRP:det	du
andes	NOM	andes
au	PRP:det	au
chili	NOM	chili
.	SENT	.
