metz	ABR	metz
.	SENT	.
_	ADJ	_
mi-temps	NOM	mi-temps
:	PUN	:
16	NUM	@card@
-	PUN	-
12	NUM	@card@
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
.	SENT	.
goulao	NOM	goulao
et	KON	et
macau	NOM	macau
(	PUN	(
por	NOM	por
).	VER:ppre	).
spectateurs	NOM	spectateur
:	PUN	:
3500	NUM	@card@
environ	NOM	environ
.	SENT	.
france	NOM	france
:	PUN	:
gardiens	NOM	gardien
de	PRP	de
but	NOM	but
:	PUN	:
martini	NOM	martini
,	PUN	,
omeyer	VER:infi	omeyer
.	SENT	.
marqueurs	NOM	marqueur
:	PUN	:
golic	NOM	golic
(	PUN	(
3	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
guigou	NOM	guigou
(	PUN	(
3	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	NOM	),
fernandez	VER:pres	fernandez
(	PUN	(
5	NUM	@card@
),	NOM	),
richardson	NOM	richardson
(	PUN	(
1	NUM	@card@
),	NOM	),
houlet	ADJ	houlet
(	PUN	(
1	NUM	@card@
),	NOM	),
abati	VER:pper	abati
(	PUN	(
1	NUM	@card@
),	NOM	),
burdet	NOM	burdet
(	PUN	(
2	NUM	@card@
),	NOM	),
cazal	ADJ	cazal
(	PUN	(
2	NUM	@card@
),	NOM	),
ber	NOM	ber
.	SENT	.
gille	NOM	gille
(	PUN	(
8	NUM	@card@
),	NOM	),
kempé	ADJ	kempé
(	PUN	(
1	NUM	@card@
),	NOM	),
plantin	ADJ	plantin
(	PUN	(
4	NUM	@card@
),	NOM	),
narcisse	NOM	narcisse
(	PUN	(
2	NUM	@card@
),	NOM	),
dinart	NOM	dinart
(	PUN	(
1	NUM	@card@
).	ABR	).
tunisie	NOM	tunisie
:	PUN	:
gardiens	NOM	gardien
de	PRP	de
but	NOM	but
:	PUN	:
zheni	VER:pper	zheni
,	PUN	,
bouali	VER:pper	bouali
.	SENT	.
marqueurs	NOM	marqueur
:	PUN	:
tej	NOM	tej
(	PUN	(
2	NUM	@card@
),	NOM	),
ben	ADV	ben
amor	ADJ	amor
(	PUN	(
1	NUM	@card@
),	NOM	),
hmam	NOM	hmam
(	PUN	(
3	NUM	@card@
),	NOM	),
sioud	NOM	sioud
(	PUN	(
3	NUM	@card@
),	NOM	),
belhaj	ADJ	belhaj
(	PUN	(
1	NUM	@card@
),	NOM	),
bousnina	VER:simp	bousnina
(	PUN	(
1	NUM	@card@
),	NOM	),
ben	ADV	ben
aziza	NOM	aziza
(	PUN	(
3	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
mgannem	NOM	mgannem
(	PUN	(
3	NUM	@card@
),	NOM	),
ayed	ADJ	ayed
(	PUN	(
5	NUM	@card@
).	ABR	).
