tous	PRO:IND	tout
les	DET:ART	le
membres	NOM	membre
de	PRP	de
la	DET:ART	le
gymnastique	NOM	gymnastique
des	PRP:det	du
différents	ADJ	différent
villages	NOM	village
,	PUN	,
gondrecourt	ADJ	gondrecourt
,	PUN	,
demange	NOM	demange
et	KON	et
dainville	NOM	dainville
se	PRO:PER	se
sont	VER:pres	être
réunis	VER:pper	réunir
,	PUN	,
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
pour	PRP	pour
tirer	VER:infi	tirer
les	DET:ART	le
rois	NOM	roi
.	SENT	.
accueillis	VER:pper	accueillir
chaleureusement	ADV	chaleureusement
par	PRP	par
la	DET:ART	le
trésorière	NOM	trésorière
,	PUN	,
elisabeth	ADJ	elisabeth
lhuillier	NOM	lhuillier
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
passé	VER:pper	passer
un	DET:ART	un
grand	ADJ	grand
moment	NOM	moment
d'	PRP	de
échange	NOM	échange
et	KON	et
de	PRP	de
convivialité	NOM	convivialité
«	PUN:cit	«
sans	PRP	sans
efforts	NOM	effort
».	VER:subi	».
la	DET:ART	le
trésorière	NOM	trésorière
comptabilise	VER:pres	comptabiliser
101	NUM	@card@
adhérents	NOM	adhérent
,	PUN	,
dont	PRO:REL	dont
83	NUM	@card@
femmes	NOM	femme
et	KON	et
18	NUM	@card@
hommes	NOM	homme
.	SENT	.
lors	ADV	lors
de	PRP	de
la	DET:ART	le
dernière	ADJ	dernier
assemblée	NOM	assemblée
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
a	VER:pres	avoir
été	VER:pper	être
renouvelé	VER:pper	renouveler
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
et	KON	et
le	DET:ART	le
bureau	NOM	bureau
se	PRO:PER	se
compose	VER:pres	composer
comme	ADV	comme
suit	VER:pres	suivre
:	PUN	:
présidente	NOM	président
,	PUN	,
naïda	NOM	naïda
florentin	ADJ	florentin
;	PUN	;
trésorière	NOM	trésorière
,	PUN	,
elisabeth	ADJ	elisabeth
lhuillier	NOM	lhuillier
;	PUN	;
trésorière-adjointe	NOM	trésorière-adjointe
,	PUN	,
frieda	VER:simp	frieda
polato	NOM	polato
;	PUN	;
secrétaire	NOM	secrétaire
,	PUN	,
christiane	NOM	christiane
chrétien	ADJ	chrétien
et	KON	et
secrétaire-adjointe	ADJ	secrétaire-adjointe
,	PUN	,
sylvaine	ADJ	sylvaine
vallette	NOM	vallette
.	SENT	.
les	DET:ART	le
personnes	NOM	personne
désireuses	ADJ	désireux
de	PRP	de
rejoindre	VER:infi	rejoindre
le	DET:ART	le
groupe	NOM	groupe
peuvent	VER:pres	pouvoir
se	PRO:PER	se
rendre	VER:infi	rendre
sur	PRP	sur
place	NOM	place
les	DET:ART	le
jours	NOM	jour
d'	PRP	de
entraînement	NOM	entraînement
,	PUN	,
à	PRP	à
savoir	VER:infi	savoir
pour	PRP	pour
gondrecourt	NOM	gondrecourt
,	PUN	,
le	DET:ART	le
lundi	NOM	lundi
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
et	KON	et
le	DET:ART	le
mardi	NOM	mardi
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
;	PUN	;
pour	PRP	pour
demange	NOM	demange
,	PUN	,
le	DET:ART	le
lundi	NOM	lundi
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
et	KON	et
pour	PRP	pour
dainville	NOM	dainville
,	PUN	,
le	DET:ART	le
jeudi	NOM	jeudi
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
deux	NUM	deux
grandes	ADJ	grand
marches	NOM	marche
sont	VER:pres	être
prévues	VER:pper	prévoir
cette	PRO:DEM	ce
année	NOM	année
:	PUN	:
la	DET:ART	le
première	NUM	premier
dans	PRP	dans
le	DET:ART	le
canton	NOM	canton
et	KON	et
le	DET:ART	le
seconde	NUM	second
autour	ADV	autour
de	PRP	de
sion	NOM	sion
.	SENT	.
