quelques	PRO:IND	quelque
places	NOM	place
restent	VER:pres	rester
disponibles	ADJ	disponible
pour	PRP	pour
le	DET:ART	le
repas	NOM	repas
de	PRP	de
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
son	NOM	son
et	KON	et
lumière	NOM	lumière
»	PUN:cit	»
qui	PRO:REL	qui
se	PRO:PER	se
déroulera	VER:futu	dérouler
le	DET:ART	le
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
l'	DET:ART	le
espace	NOM	espace
labienus	ADJ	labienus
,	PUN	,
mariant	VER:ppre	marier
gastronomie	NOM	gastronomie
,	PUN	,
art	NOM	art
pictural	ADJ	pictural
et	KON	et
musique	NOM	musique
.	SENT	.
les	DET:ART	le
réservations	NOM	réservation
sont	VER:pres	être
à	PRP	à
effectuer	VER:infi	effectuer
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
40.00	NUM	@card@
.	SENT	.
52	NUM	@card@
tarif	NOM	tarif
:	PUN	:
25	NUM	@card@
	NOM	
par	PRP	par
adultes	NOM	adulte
;	PUN	;
15	NUM	@card@
	NOM	
par	PRP	par
enfant	NOM	enfant
jusqu'à	NOM	jusqu'à
12	NUM	@card@
ans	NOM	an
.	SENT	.
