metz	ABR	metz
.	SENT	.
-	PUN	-
les	DET:ART	le
familles	NOM	famille
des	PRP:det	du
deux	NUM	deux
enfants	NOM	enfant
tués	VER:pper	tuer
à	PRP	à
montigny-lès-metz	NAM	montigny-lès-metz
(	PUN	(
moselle	ADJ	moselle
)	PUN	)
en	PRP	en
1986	NUM	@card@
viennent	VER:pres	venir
d'	PRP	de
obtenir	VER:infi	obtenir
une	DET:ART	un
indemnisation	NOM	indemnisation
pour	PRP	pour
le	DET:ART	le
«	PUN:cit	«
préjudice	NOM	préjudice
psychologique	ADJ	psychologique
»	PUN:cit	»
subi	VER:pper	subir
après	PRP	après
la	DET:ART	le
révision	NOM	révision
du	PRP:det	du
procès	NOM	procès
de	PRP	de
patrick	NOM	patrick
dils	ADJ	dils
,	PUN	,
initialement	ADV	initialement
condamné	VER:pper	condamner
pour	PRP	pour
ce	PRO:DEM	ce
double	ADJ	double
meurtre	NOM	meurtre
puis	ADV	puis
acquitté	VER:pper	acquitter
en	PRP	en
avril	NOM	avril
dernier	ADJ	dernier
.	SENT	.
la	DET:ART	le
commission	NOM	commission
d'	PRP	de
indemnisation	NOM	indemnisation
des	PRP:det	du
victimes	NOM	victime
d'	PRP	de
infractions	NOM	infraction
du	PRP:det	du
tribunal	NOM	tribunal
de	PRP	de
grande	ADJ	grand
instance	NOM	instance
de	PRP	de
metz	NAM	Metz
a	VER:pres	avoir
octroyé	VER:pper	octroyer
25.000	NUM	@card@
euros	NOM	euro
à	PRP	à
chacun	PRO:IND	chacun
des	PRP:det	du
parents	NOM	parent|parents
de	PRP	de
cyril	ADJ	cyril
beining	NOM	beining
et	KON	et
alexandre	ADJ	alexandre
beckrich	NOM	beckrich
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
âgés	ADJ	âgé
de	PRP	de
huit	NUM	huit
ans	NOM	an
en	PRP	en
septembre	NOM	septembre
1986	NUM	@card@
ainsi	KON	ainsi
que	KON	que
12.000	NUM	@card@
euros	NOM	euro
à	PRP	à
chacun	PRO:IND	chacun
de	PRP	de
leurs	DET:POS	leur
grands-parents	NOM	grands-parents
,	PUN	,
a	VER:pres	avoir
indiqué	VER:pper	indiquer
me	PRO:PER	me
dominique	VER:pres	dominique
rondu	VER:pper	rondu
,	PUN	,
avocat	NOM	avocat
de	PRP	de
la	DET:ART	le
famille	NOM	famille
beckrich	ADJ	beckrich
.	SENT	.
ces	PRO:DEM	ce
indemnisations	NOM	indemnisation
ont	VER:pres	avoir
été	VER:pper	être
allouées	VER:pper	allouer
à	PRP	à
titre	NOM	titre
provisoire	ADJ	provisoire
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
attente	NOM	attente
des	PRP:det	du
résultats	NOM	résultat
d'	PRP	de
une	DET:ART	un
expertise	NOM	expertise
psychiatrique	ADJ	psychiatrique
qui	PRO:REL	qui
doit	VER:pres	devoir
préciser	VER:infi	préciser
l'	DET:ART	le
ampleur	NOM	ampleur
du	PRP:det	du
préjudice	NOM	préjudice
subi	VER:pper	subir
par	PRP	par
les	DET:ART	le
familles	NOM	famille
des	PRP:det	du
deux	NUM	deux
petits	NOM	petit
garçons	NOM	garçon
.	SENT	.
«	PUN:cit	«
depuis	PRP	depuis
la	DET:ART	le
révision	NOM	révision
,	PUN	,
les	DET:ART	le
familles	NOM	famille
ont	VER:pres	avoir
dû	VER:pper	devoir
revivre	VER:infi	revivre
deux	NUM	deux
procès	NOM	procès
,	PUN	,
qui	PRO:REL	qui
ont	VER:pres	avoir
été	VER:pper	être
très	ADV	très
éprouvants	ADJ	éprouvant
»,	NOM	»,
a	VER:pres	avoir
souligné	VER:pper	souligner
me	PRO:PER	me
rondu	VER:pper	rondu
.	SENT	.
«	PUN:cit	«
le	DET:ART	le
pire	ADJ	pire
a	VER:pres	avoir
été	VER:pper	être
la	DET:ART	le
décision	NOM	décision
d'	PRP	de
acquittement	NOM	acquittement
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
l'	DET:ART	le
aveu	NOM	aveu
que	KON	que
la	DET:ART	le
justice	NOM	justice
,	PUN	,
16	NUM	@card@
ans	NOM	an
après	PRP	après
les	DET:ART	le
faits	NOM	fait
,	PUN	,
n'	ADV	ne
a	VER:pres	avoir
plus	ADV	plus
de	PRP	de
coupable	NOM	coupable
!	SENT	!
»	PUN:cit	»
condamné	VER:pper	condamner
en	PRP	en
1989	NUM	@card@
à	PRP	à
la	DET:ART	le
prison	NOM	prison
à	PRP	à
perpétuité	NOM	perpétuité
pour	PRP	pour
le	DET:ART	le
meurtre	NOM	meurtre
commis	VER:pper	commettre
en	PRP	en
septembre	NOM	septembre
1986	NUM	@card@
à	PRP	à
montigny-lès-metz	NAM	montigny-lès-metz
de	PRP	de
deux	NUM	deux
garçons	NOM	garçon
de	PRP	de
huit	NUM	huit
ans	NOM	an
,	PUN	,
patrick	NOM	patrick
dils	ADJ	dils
avait	VER:impf	avoir
vu	VER:pper	voir
ce	PRO:DEM	ce
verdict	NOM	verdict
annulé	VER:pper	annuler
par	PRP	par
la	DET:ART	le
cour	NOM	cour
de	PRP	de
cassation	NOM	cassation
le	DET:ART	le
3	NUM	@card@
