aujourd'hui	ADV	aujourd'hui
9	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
parc	NOM	parc
de	PRP	de
loisirs	NOM	loisir
,	PUN	,
salle	NOM	salle
des	PRP:det	du
méchouis	NOM	méchoui
,	PUN	,
grand	ADJ	grand
marché	NOM	marché
lorrain	ADJ	lorrain
.	SENT	.
peintres	NOM	peintre
,	PUN	,
artistes	ADJ	artiste
,	PUN	,
vannier	NOM	vannier
,	PUN	,
tourneur	NOM	tourneur
sur	PRP	sur
bois	NOM	bois
,	PUN	,
potée	NOM	potée
lorraine	ADJ	lorrain
et	KON	et
vin	NOM	vin
chaud	ADJ	chaud
sont	VER:pres	être
au	PRP:det	au
rendez-vous	NOM	rendez-vous
.	SENT	.
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
les	DET:ART	le
basketteurs	NOM	basketteur
rencontrent	VER:pres	rencontrer
ceux	PRO:DEM	celui
de	PRP	de
dombasle	NOM	dombasle
.	SENT	.
lundi	NOM	lundi
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
départ	NOM	départ
de	PRP	de
la	DET:ART	le
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
.	SENT	.
14	NUM	@card@
h	ABR	heure
:	PUN	:
patchwork	NOM	patchwork
.	SENT	.
15	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
premier	NUM	premier
des	PRP:det	du
trois	NUM	trois
cours	NOM	cour|cours
de	PRP	de
judo	NOM	judo
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
.	SENT	.
mardi	NOM	mardi
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
gym	NOM	gym
volontaire	ADJ	volontaire
.	SENT	.
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
encadrement	NOM	encadrement
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
stretching	NOM	stretching
.	SENT	.
mercredi	NOM	mercredi
14	NUM	@card@
h	ABR	heure
:	PUN	:
cours	NOM	cour|cours
d'	PRP	de
anglais	ADJ	anglais
pour	PRP	pour
les	DET:ART	le
scolaires	ADJ	scolaire
.	SENT	.
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
atelier	NOM	atelier
d'	PRP	de
arts	NOM	art
du	PRP:det	du
cirque	NOM	cirque
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
et	KON	et
cours	NOM	cour|cours
de	PRP	de
gym	NOM	gym
.	SENT	.
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
cours	NOM	cour|cours
de	PRP	de
danse	NOM	danse
de	PRP	de
salon	NOM	salon
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
jeudi	NOM	jeudi
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
couture	NOM	couture
.	SENT	.
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
premier	NUM	premier
cours	NOM	cour|cours
de	PRP	de
judo	NOM	judo
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
taï	NOM	taï
chi	NOM	chi
chuan	ADJ	chuan
au	PRP:det	au
centre	NOM	centre
socio-culturel	ADJ	socio-culturel
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
gym	NOM	gym
volontaire	ADJ	volontaire
,	PUN	,
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
.	SENT	.
vendredi	NOM	vendredi
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
d'	PRP	de
initiation	NOM	initiation
à	PRP	à
la	DET:ART	le
dentelle	NOM	dentelle
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
et	KON	et
cours	NOM	cour|cours
de	PRP	de
step	NOM	step
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
badminton	NOM	badminton
dans	PRP	dans
le	DET:ART	le
gymnase	NOM	gymnase
st	VER:futu	st
camille	NOM	camille
.	SENT	.
20	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
entraînement	NOM	entraînement
de	PRP	de
basket	NOM	basket
.	SENT	.
samedi	NOM	samedi
18	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
en	PRP	en
raison	NOM	raison
des	PRP:det	du
travaux	NOM	travail
à	PRP	à
l'	DET:ART	le
église	NOM	église
,	PUN	,
la	DET:ART	le
messe	NOM	messe
prévue	VER:pper	prévoir
à	PRP	à
velaine	NOM	velaine
sera	VER:futu	être
célébrée	VER:pper	célébrer
à	PRP	à
sexey	NOM	sexey
.	SENT	.
dimanche	NOM	dimanche
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
les	DET:ART	le
basketteurs	NOM	basketteur
jouent	VER:pres	jouer
contre	PRP	contre
fléville	NOM	fléville
.	SENT	.
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
messe	NOM	messe
à	PRP	à
dommartin	NOM	dommartin
.	SENT	.
