funchal	NOM	funchal
.	SENT	.
_	ABR	_
ce	PRO:DEM	ce
mondial	ADJ	mondial
se	PRO:PER	se
déroule	VER:pres	dérouler
selon	PRP	selon
une	DET:ART	un
formule	NOM	formule
qui	PRO:REL	qui
ne	ADV	ne
fait	VER:pres	faire
pas	ADV	pas
l'	DET:ART	le
unanimité	NOM	unanimité
et	KON	et
qui	PRO:REL	qui
va	VER:pres	aller
inévitablement	ADV	inévitablement
inciter	VER:infi	inciter
certaines	PRO:IND	certain
équipes	NOM	équipe
à	PRP	à
faire	VER:infi	faire
des	PRP:det	du
calculs	NOM	calcul
pour	PRP	pour
éviter	VER:infi	éviter
tel	PRO:DEM	tel
ou	KON	ou
tel	PRO:DEM	tel
adversaire	NOM	adversaire
.	SENT	.
rappelons-la	VER:simp	rappelons-la
:	PUN	:
les	DET:ART	le
quatre	NUM	quatre
premiers	NOM	premier
de	PRP	de
chacune	PRO:IND	chacun
des	PRP:det	du
quatre	NUM	quatre
poules	NOM	poule
sont	VER:pres	être
qualifiés	VER:pper	qualifier
.	SENT	.
le	DET:ART	le
premier	NUM	premier
et	KON	et
le	DET:ART	le
troisième	NUM	troisième
sont	VER:pres	être
dans	PRP	dans
un	DET:ART	un
groupe	NOM	groupe
,	PUN	,
le	DET:ART	le
deuxième	NUM	deuxième
et	KON	et
le	DET:ART	le
quatrième	NUM	quatrième
dans	PRP	dans
un	DET:ART	un
autre	ADJ	autre
.	SENT	.
les	DET:ART	le
deux	NUM	deux
équipes	NOM	équipe
qui	PRO:REL	qui
"	PUN:cit	"
partent	VER:pres	partir
"	PUN:cit	"
ensemble	ADV	ensemble
dans	PRP	dans
le	DET:ART	le
même	ADJ	même
groupe	NOM	groupe
ne	ADV	ne
conservent	VER:pres	conserver
que	KON	que
le	DET:ART	le
bénéfice	NOM	bénéfice
du	PRP:det	du
résultat	NOM	résultat
obtenu	VER:pper	obtenir
lors	ADV	lors
de	PRP	de
leur	DET:POS	leur
affrontement	NOM	affrontement
et	KON	et
affrontent	VER:pres	affronter
deux	NUM	deux
équipes	NOM	équipe
d'	PRP	de
une	DET:ART	un
autre	ADJ	autre
poule	NOM	poule
.	SENT	.
les	DET:ART	le
matches	NOM	match
auront	VER:futu	avoir
lieu	NOM	lieu
mercredi	NOM	mercredi
et	KON	et
jeudi	NOM	jeudi
.	SENT	.
groupe	NOM	groupe
1	NUM	@card@
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
poule	NOM	poule
a	VER:pres	avoir
,	PUN	,
3	NUM	@card@
e	ADJ	e
poule	NOM	poule
a	VER:pres	avoir
,	PUN	,
2	NUM	@card@
e	ADJ	e
poule	NOM	poule
b	ADJ	b
,	PUN	,
4	NUM	@card@
e	ADJ	e
poule	NOM	poule
b.	VER:subi	b.
groupe	NOM	groupe
2	NUM	@card@
:	PUN	:
2	NUM	@card@
e	NOM	e
a	VER:pres	avoir
,	PUN	,
4	NUM	@card@
e	NOM	e
a	VER:pres	avoir
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
b	VER:pper	b
,	PUN	,
3	NUM	@card@
e	NOM	e
b.	VER:subi	b.
groupe	NOM	groupe
3	NUM	@card@
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
c	VER:pper	c
,	PUN	,
3	NUM	@card@
e	NOM	e
c	ADJ	c
,	PUN	,
2	NUM	@card@
e	NOM	e
d	ADJ	d
,	PUN	,
4	NUM	@card@
e	NOM	e
d.	VER:subi	d.
groupe	NOM	groupe
4	NUM	@card@
:	PUN	:
2	NUM	@card@
e	NOM	e
c	ADJ	c
,	PUN	,
4	NUM	@card@
e	NOM	e
c	ADJ	c
,	PUN	,
1	NUM	@card@
e	NOM	e
r	VER:subi	r
d	VER:pper	d
,	PUN	,
3	NUM	@card@
e	NOM	e
d.	VER:subi	d.
le	DET:ART	le
premier	NUM	premier
de	PRP	de
chaque	PRO:IND	chaque
groupe	NOM	groupe
est	VER:pres	être
qualifié	VER:pper	qualifier
pour	PRP	pour
les	DET:ART	le
demi-finales	NOM	demi-finale
(	PUN	(
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
).	ADJ	).
