l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
martine	VER:pres	martiner
genter	NOM	genter
,	PUN	,
tél/fax/rép	NOM	tél/fax/rép
.	SENT	.
03.29	NUM	@card@
.	SENT	.
89.92	NUM	@card@
.	SENT	.
44	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
malard	NOM	malard
à	PRP	à
vaucouleurs	NOM	vaucouleurs
:	PUN	:
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
89.40	NUM	@card@
.	SENT	.
53	NUM	@card@
entente	NOM	entente
sorcy-void	NOM	sorcy-void
:	PUN	:
challenge	NOM	challenge
«	PUN:cit	«
trail	NOM	trail
vidusien	NOM	vidusien
»	PUN:cit	»
réservé	VER:pper	réserver
aux	PRP:det	au
poussins	NOM	poussin
avec	PRP	avec
12	NUM	@card@
équipes	NOM	équipe
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
gilbert	NOM	gilbert
.	SENT	.
buvette	NOM	buvette
et	KON	et
restauration	NOM	restauration
sur	PRP	sur
place	NOM	place
.	SENT	.
