nous	PRO:PER	nous
apprenons	VER:pres	apprendre
la	DET:ART	le
naissance	NOM	naissance
de	PRP	de
charlotte	NOM	charlotte
,	PUN	,
2,860	NUM	@card@
kg	ABR	kg
,	PUN	,
à	PRP	à
la	DET:ART	le
clinique	ADJ	clinique
majorelle	NOM	majorelle
.	SENT	.
charlotte	NOM	charlotte
est	VER:pres	être
le	DET:ART	le
troisième	NUM	troisième
enfant	NOM	enfant
de	PRP	de
francis	NOM	francis
claudel	ADJ	claudel
,	PUN	,
chef	NOM	chef
de	PRP	de
chantier	NOM	chantier
,	PUN	,
et	KON	et
stéphanie	NOM	stéphanie
vernier	NOM	vernier
,	PUN	,
coiffeuse	NOM	coiffeur|coiffeuse
,	PUN	,
installés	VER:pper	installer
depuis	PRP	depuis
décembre	NOM	décembre
2001	NUM	@card@
au	PRP:det	au
13	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
vanoise	NOM	vanoise
.	SENT	.
ses	DET:POS	son
deux	NUM	deux
grands	ADJ	grand
frères	NOM	frère
clément	ADJ	clément
,	PUN	,
3	NUM	@card@
ans	NOM	an
,	PUN	,
et	KON	et
corentin	NOM	corentin
,	PUN	,
5	NUM	@card@
ans	NOM	an
et	KON	et
demi	NOM	demi
,	PUN	,
entourent	VER:pres	entourer
déjà	ADV	déjà
leur	DET:POS	leur
petite	ADJ	petit
s	NOM	s
	ADJ	
ur	VER:simp	ur
de	PRP	de
toute	PRO:IND	tout
leur	DET:POS	leur
affection	NOM	affection
.	SENT	.
nos	DET:POS	notre
félicitations	NOM	félicitation
aux	PRP:det	au
heureux	ADJ	heureux
parents	NOM	parent|parents
et	KON	et
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
au	PRP:det	au
bébé	NOM	bébé
.	SENT	.
