hier	ADV	hier
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
bruno	NOM	bruno
dominger	ADJ	dominger
,	PUN	,
employé	VER:pper	employer
dans	PRP	dans
les	DET:ART	le
travaux	NOM	travail
publics	ADJ	public
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
sa	DET:POS	son
destinée	NOM	destinée
à	PRP	à
celle	PRO:DEM	celui
d'	PRP	de
isabelle	ADJ	isabelle
servanty	NOM	servanty
,	PUN	,
sans	PRP	sans
profession	NOM	profession
,	PUN	,
tous	PRO:IND	tout
deux	NUM	deux
demeurant	NOM	demeurant
à	PRP	à
saint-nicolas-de-port	NOM	saint-nicolas-de-port
2	NUM	@card@
place	NOM	place
jean-jaurès	NOM	jean-jaurès
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
isabelle	ADJ	isabelle
bordeaux	NOM	bordeau|bordeaux
,	PUN	,
adjointe	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
recueilli	VER:pper	recueillir
leur	DET:POS	leur
consentement	NOM	consentement
mutuel	ADJ	mutuel
.	SENT	.
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
