«	PUN:cit	«
nous	PRO:PER	nous
avons	VER:pres	avoir
réalisé	VER:pper	réaliser
un	DET:ART	un
sondage	NOM	sondage
avec	PRP	avec
les	DET:ART	le
enfants	NOM	enfant
»,	ADJ	»,
explique	VER:pres	expliquer
martine	VER:pres	martiner
morlot	NOM	morlot
,	PUN	,
l'	DET:ART	le
institutrice	NOM	instituteur
des	PRP:det	du
ce	PRO:DEM	ce
2.	VER:subp	@ord@
le	DET:ART	le
questionnaire	NOM	questionnaire
portait	VER:impf	porter
sur	PRP	sur
les	DET:ART	le
heures	NOM	heure
du	PRP:det	du
coucher	NOM	coucher
,	PUN	,
du	PRP:det	du
lever	NOM	lever
et	KON	et
du	PRP:det	du
petit	ADJ	petit
déjeuner	NOM	déjeuner
.	SENT	.
et	KON	et
aussi	ADV	aussi
,	PUN	,
les	DET:ART	le
personnes	NOM	personne
avec	PRP	avec
lesquelles	PRO:REL	lequel
les	DET:ART	le
enfants	NOM	enfant
prennent	VER:pres	prendre
ce	PRO:DEM	ce
premier	NUM	premier
repas	NOM	repas
de	PRP	de
la	DET:ART	le
journée	NOM	journée
et	KON	et
ce	PRO:DEM	ce
qu'	PRO:REL	que
ils	PRO:PER	il
consomment	VER:pres	consommer
habituellement	ADV	habituellement
.	SENT	.
l'	DET:ART	le
objectif	NOM	objectif
du	PRP:det	du
projet	NOM	projet
pédagogique	ADJ	pédagogique
qui	PRO:REL	qui
est	VER:pres	être
mené	VER:pper	mener
avec	PRP	avec
les	DET:ART	le
ce	PRO:DEM	ce
2	NUM	@card@
et	KON	et
la	DET:ART	le
classe	NOM	classe
de	PRP	de
ce	PRO:DEM	ce
1-	NUM	@card@
ce	PRO:DEM	ce
2	NUM	@card@
de	PRP	de
pauline	ADJ	pauline
vinkler	NOM	vinkler
,	PUN	,
est	VER:pres	être
de	PRP	de
faire	VER:infi	faire
découvrir	VER:infi	découvrir
ce	PRO:DEM	ce
que	PRO:REL	que
peut	VER:pres	pouvoir
être	VER:infi	être
un	DET:ART	un
petit	ADJ	petit
déjeuner	NOM	déjeuner
équilibré	VER:pper	équilibrer
.	SENT	.
un	DET:ART	un
travail	NOM	travail
réalisé	VER:pper	réaliser
en	PRP	en
partenariat	NOM	partenariat
avec	PRP	avec
l'	DET:ART	le
infirmière	NOM	infirmier
scolaire	ADJ	scolaire
du	PRP:det	du
secteur	NOM	secteur
dominique	ADJ	dominique
labouret	ADJ	labouret
.	SENT	.
au	PRP:det	au
programme	NOM	programme
des	PRP:det	du
jeunes	ADJ	jeune
diététiciens	NOM	diététicien
,	PUN	,
les	DET:ART	le
groupes	NOM	groupe
d'	PRP	de
aliments	NOM	aliment
,	PUN	,
leurs	DET:POS	leur
apports	NOM	apport
,	PUN	,
les	DET:ART	le
sucres	NOM	sucre
lents	ADJ	lent
ou	KON	ou
rapides	ADJ	rapide
,	PUN	,
la	DET:ART	le
prévention	NOM	prévention
des	PRP:det	du
caries	NOM	carie
et	KON	et
une	DET:ART	un
réflexion	NOM	réflexion
sur	PRP	sur
les	DET:ART	le
comportements	NOM	comportement
pendant	PRP	pendant
les	DET:ART	le
repas	NOM	repas
.	SENT	.
prochaines	ADJ	prochain
étapes	NOM	étape
du	PRP:det	du
projet	NOM	projet
,	PUN	,
un	DET:ART	un
vrai	ADJ	vrai
petit	ADJ	petit
déjeuner	NOM	déjeuner
équilibré	VER:pper	équilibrer
qui	PRO:REL	qui
sera	VER:futu	être
confectionné	VER:pper	confectionner
à	PRP	à
l'	DET:ART	le
école	NOM	école
et	KON	et
un	DET:ART	un
travail	NOM	travail
de	PRP	de
retour	NOM	retour
aux	PRP:det	au
parents	NOM	parent|parents
.	SENT	.
une	DET:ART	un
manière	NOM	manière
d'	PRP	de
évaluer	VER:infi	évaluer
les	DET:ART	le
acquis	NOM	acquis
pour	PRP	pour
les	DET:ART	le
enseignantes	NOM	enseignant
et	KON	et
l'	DET:ART	le
infirmière	NOM	infirmier
.	SENT	.
