«	PUN:cit	«
les	DET:ART	le
mobilisations	NOM	mobilisation
aux	PRP:det	au
usa	VER:simp	user
à	PRP	à
porte	ADJ	porte
allegre	NOM	allegre
au	PRP:det	au
forum	NOM	forum
social	ADJ	social
mondial	ADJ	mondial
et	KON	et
dans	PRP	dans
le	DET:ART	le
monde	NOM	monde
entier	ADJ	entier
semblent	VER:pres	sembler
porter	VER:infi	porter
leurs	DET:POS	leur
fruits	NOM	fruit
:	PUN	:
la	DET:ART	le
déclaration	NOM	déclaration
de	PRP	de
guerre	NOM	guerre
contre	PRP	contre
l'	DET:ART	le
irak	NOM	irak
est	VER:pres	être
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
impopulaire	ADJ	impopulaire
.	SENT	.
bush	NOM	bush
et	KON	et
blair	NOM	blair
sont	VER:pres	être
de	PRP	de
plus	ADV	plus
en	PRP	en
plus	ADV	plus
isolés	VER:pper	isoler
.	SENT	.
redoublons	VER:pres	redoubler
d'	PRP	de
efforts	NOM	effort
pour	KON	pour
qu'	KON	que
ils	PRO:PER	il
ne	ADV	ne
puissent	VER:subp	pouvoir
déclencher	VER:infi	déclencher
une	DET:ART	un
guerre	NOM	guerre
meurtrière	ADJ	meurtrier
dont	PRO:REL	dont
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
loin	ADV	loin
de	PRP	de
mesurer	VER:infi	mesurer
toutes	PRO:IND	tout
les	DET:ART	le
conséquences	NOM	conséquence
.	SENT	.
le	DET:ART	le
collectif	ADJ	collectif
anti-guerre	NOM	anti-guerre
belfort-montbéliard-héricourt	ADJ	belfort-montbéliard-héricourt
qui	PRO:REL	qui
regroupe	VER:pres	regrouper
pour	PRP	pour
l'	DET:ART	le
instant	NOM	instant
dix-neuf	NUM	dix-neuf
organisations	NOM	organisation
et	KON	et
des	PRP:det	du
individus	NOM	individu
se	PRO:PER	se
réunit	VER:pres	réunir
le	DET:ART	le
30	NUM	@card@
janvier	NOM	janvier
à	PRP	à
belfort	NOM	belfort
,	PUN	,
maison	NOM	maison
du	PRP:det	du
peuple	NOM	peuple
,	PUN	,
à	PRP	à
18	NUM	@card@
h.	ABR	h.
il	PRO:PER	il
est	VER:pres	être
ouvert	VER:pper	ouvrir
à	PRP	à
toutes	PRO:IND	tout
les	DET:ART	le
bonnes	ADJ	bon
volontés	NOM	volonté
,	PUN	,
à	PRP	à
toute	PRO:IND	tout
nouvelle	ADJ	nouveau
organisation	NOM	organisation
».	ADJ	».
