c'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
grand	ADJ	grand
nombre	NOM	nombre
que	KON	que
les	DET:ART	le
pêcheurs	NOM	pêcheur
de	PRP	de
la	DET:ART	le
société	NOM	société
du	PRP:det	du
haut	ADJ	haut
mouzon	NOM	mouzon
ont	VER:pres	avoir
procédé	VER:pper	procéder
à	PRP	à
un	DET:ART	un
important	ADJ	important
alevinage	NOM	alevinage
de	PRP	de
truites	NOM	truite
,	PUN	,
220	NUM	@card@
kg	ABR	kg
de	PRP	de
fario	NOM	fario
.	SENT	.
le	DET:ART	le
parcours	NOM	parcours
de	PRP	de
l'	DET:ART	le
alevinage	NOM	alevinage
dans	PRP	dans
les	DET:ART	le
rivières	NOM	rivière
reliant	VER:ppre	relier
martigny-les-bains	NOM	martigny-les-bains
à	PRP	à
villotte	NOM	villotte
,	PUN	,
rocourt	ADJ	rocourt
,	PUN	,
tollaincourt	NOM	tollaincourt
,	PUN	,
est	VER:pres	être
sous	PRP	sous
la	DET:ART	le
responsabilité	NOM	responsabilité
du	PRP:det	du
président	NOM	président
roland	ADJ	roland
killian	NOM	killian
et	KON	et
du	PRP:det	du
garde	NOM	garde
fédéral	ADJ	fédéral
jean-françois	ADJ	jean-françois
charpeignet	NOM	charpeignet
.	SENT	.
une	DET:ART	un
opération	NOM	opération
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
dans	PRP	dans
de	PRP	de
bonnes	ADJ	bon
conditions	NOM	condition
,	PUN	,
à	PRP	à
la	DET:ART	le
satisfaction	NOM	satisfaction
de	PRP	de
tous	PRO:IND	tout
.	SENT	.
