aujourd'hui	ADV	aujourd'hui
:	PUN	:
messes	NOM	messe
à	PRP	à
18	NUM	@card@
h	ABR	heure
à	PRP	à
vacherauville	NOM	vacherauville
et	KON	et
à	PRP	à
19	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
saint-sauveur	NOM	saint-sauveur
.	SENT	.
dimanche	NOM	dimanche
:	PUN	:
messes	NOM	messe
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
saint-victor	NOM	saint-victor
;	PUN	;
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
glorieux	ADJ	glorieux
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
à	PRP	à
haudainville	NOM	haudainville
et	KON	et
saint-sauveur	NOM	saint-sauveur
;	PUN	;
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
cathédrale	NOM	cathédrale
.	SENT	.
