l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
,	PUN	,
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
en	PRP	en
cas	NOM	cas
d'	PRP	de
urgence	NOM	urgence
téléphoner	VER:infi	téléphoner
au	PRP:det	au
centre	NOM	centre
15	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
après	PRP	après
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
gérard	NOM	gérard
saragoni	ADJ	saragoni
(	PUN	(
urbanisme	NOM	urbanisme
,	PUN	,
environnement	NOM	environnement
).	VER:ppre	).
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
top	NOM	top
loisirs	NOM	loisir
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
madeleine	NOM	madeleine
hastert	NOM	hastert
,	PUN	,
au	PRP:det	au
quartier	NOM	quartier
de	PRP	de
la	DET:ART	le
mourière	NOM	mourière
.	SENT	.
détente	NOM	détente
et	KON	et
loisirs	NOM	loisir
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
grimau	ADJ	grimau
,	PUN	,
au	PRP:det	au
quartier	NOM	quartier
de	PRP	de
joudreville	NOM	joudreville
.	SENT	.
club	NOM	club
pyramide	NOM	pyramide
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
annexe	ADJ	annexe
de	PRP	de
la	DET:ART	le
salle	NOM	salle
grimau	ADJ	grimau
.	SENT	.
bouligny	NAM	bouligny
accueil	NOM	accueil
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
foyer	NOM	foyer
maurice	ADJ	maurice
thorez	ADJ	thorez
.	SENT	.
maintien	NOM	maintien
en	PRP	en
forme	NOM	forme
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
catéchisme	NOM	catéchisme
:	PUN	:
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
scrabble	NOM	scrabble
pour	PRP	pour
les	DET:ART	le
cm	NOM	cm
2.	PRP:det	@ord@
piscine	NOM	piscine
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
aquagym	NOM	aquagym
des	PRP:det	du
dames	NOM	dame
inscrites	ADJ	inscrit
.	SENT	.
asbb	NOM	asbb
football	NOM	football
:	PUN	:
entraînement	NOM	entraînement
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
benjamins	NOM	benjamin
)	PUN	)
et	KON	et
à	PRP	à
18	NUM	@card@
h	ABR	heure
(	PUN	(
seniors	NOM	senior
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
).	VER:pper	).
asjpb	NOM	asjpb
basket-ball	NOM	basket-ball
:	PUN	:
entraînement	NOM	entraînement
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
joudreville	NOM	joudreville
,	PUN	,
à	PRP	à
19	NUM	@card@
h	ABR	heure
(	PUN	(
seniors	NOM	senior
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
).	VER:pper	).
ping-pong	NOM	ping-pong
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
entraînement	NOM	entraînement
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
danse	NOM	danse
de	PRP	de
salon	NOM	salon
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
salle	NOM	salle
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
,	PUN	,
ouvert	VER:pper	ouvrir
à	PRP	à
tous	PRO:IND	tout
.	SENT	.
cinéma	NOM	cinéma
:	PUN	:
à	PRP	à
la	DET:ART	le
salle	NOM	salle
germinal	ADJ	germinal
,	PUN	,
deux	NUM	deux
films	NOM	film
au	PRP:det	au
programme	NOM	programme
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
harry	NOM	harry
potter	NOM	potter
»,	ADJ	»,
et	KON	et
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
le	DET:ART	le
seigneur	NOM	seigneur
des	PRP:det	du
anneaux	NOM	anneau
»	PUN:cit	»
réunion	NOM	réunion
publique	ADJ	publique
:	PUN	:
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
de	PRP	de
bouligny	NAM	bouligny
,	PUN	,
réunion	NOM	réunion
ouverte	ADJ	ouvert
à	PRP	à
tous	PRO:IND	tout
,	PUN	,
pour	PRP	pour
les	DET:ART	le
informations	NOM	information
sur	PRP	sur
l'	DET:ART	le
alimentation	NOM	alimentation
du	PRP:det	du
gaz	NOM	gaz
naturel	ADJ	naturel
des	PRP:det	du
quartiers	NOM	quartier
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
