lors	ADV	lors
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
de	PRP	de
la	DET:ART	le
région	NOM	région
de	PRP	de
damvillers	NOM	damvillers
,	PUN	,
les	DET:ART	le
conseillers	NOM	conseiller
communautaires	ADJ	communautaire
ont	VER:pres	avoir
redéfini	VER:pper	redéfinir
les	DET:ART	le
tarifs	NOM	tarif
de	PRP	de
facturation	NOM	facturation
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
.	SENT	.
en	PRP	en
1997	NUM	@card@
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
avait	VER:impf	avoir
passé	VER:pper	passer
un	DET:ART	un
appel	NOM	appel
d'	PRP	de
offres	NOM	offre
pour	PRP	pour
la	DET:ART	le
collecte	NOM	collecte
,	PUN	,
le	DET:ART	le
transport	NOM	transport
et	KON	et
le	DET:ART	le
traitement	NOM	traitement
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
sur	PRP	sur
cinq	NUM	cinq
ans	NOM	an
.	SENT	.
ce	PRO:DEM	ce
contrat	NOM	contrat
a	VER:pres	avoir
pris	VER:pper	prendre
fin	NOM	fin
le	DET:ART	le
31	NUM	@card@
décembre	NOM	décembre
2002	NUM	@card@
les	DET:ART	le
tarifs	NOM	tarif
pratiqués	VER:pper	pratiquer
alors	ADV	alors
par	PRP	par
l'	DET:ART	le
entreprise	NOM	entreprise
étaient	VER:impf	être
très	ADV	très
bas	ADJ	bas
.	SENT	.
afin	KON	afin
d'	PRP	de
assurer	VER:infi	assurer
la	DET:ART	le
continuité	NOM	continuité
du	PRP:det	du
service	NOM	service
public	ADJ	public
,	PUN	,
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
a	VER:pres	avoir
lancé	VER:pper	lancer
en	PRP	en
septembre	NOM	septembre
2002	NUM	@card@
un	DET:ART	un
nouvel	ADJ	nouveau
appel	NOM	appel
d'	PRP	de
offres	NOM	offre
«	PUN:cit	«
ordures	NOM	ordure
ménagères	ADJ	ménager
»	PUN:cit	»
les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
désagréable	ADJ	désagréable
surprise	VER:pper	surprendre
de	PRP	de
constater	VER:infi	constater
une	DET:ART	un
très	ADV	très
forte	ADJ	fort
augmentation	NOM	augmentation
du	PRP:det	du
coût	NOM	coût
de	PRP	de
la	DET:ART	le
prestation	NOM	prestation
de	PRP	de
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
par	PRP	par
les	DET:ART	le
entreprises	NOM	entreprise
,	PUN	,
tandis	KON	tandis
que	KON	que
le	DET:ART	le
coût	NOM	coût
de	PRP	de
collecte	NOM	collecte
de	PRP	de
tri	NOM	tri
sélectif	ADJ	sélectif
se	PRO:PER	se
maintenait	VER:impf	maintenir
.	SENT	.
le	DET:ART	le
marché	NOM	marché
a	VER:pres	avoir
été	VER:pper	être
renégocié	VER:pper	renégocié
.	SENT	.
les	DET:ART	le
élus	NOM	élu
ont	VER:pres	avoir
choisi	VER:pper	choisir
l'	DET:ART	le
entreprise	NOM	entreprise
barisienne	ADJ	barisienne
qui	PRO:REL	qui
a	VER:pres	avoir
proposé	VER:pper	proposer
de	PRP	de
nouveaux	ADJ	nouveau
tarifs	NOM	tarif
de	PRP	de
collecte	NOM	collecte
,	PUN	,
en	PRP	en
baisse	NOM	baisse
par	PRP	par
rapport	NOM	rapport
au	PRP:det	au
premier	NUM	premier
appel	NOM	appel
d'	PRP	de
offres	NOM	offre
.	SENT	.
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
établit	VER:pres	établir
un	DET:ART	un
budget	NOM	budget
spécifique	ADJ	spécifique
pour	PRP	pour
les	DET:ART	le
ordures	NOM	ordure
ménagères	ADJ	ménager
;	PUN	;
ce	PRO:DEM	ce
dernier	ADJ	dernier
doit	VER:pres	devoir
s'	PRO:PER	se
équilibrer	VER:infi	équilibrer
entre	PRP	entre
