l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
à	PRP	à
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
,	PUN	,
du	PRP:det	du
samedi	NOM	samedi
8	NUM	@card@
h	ABR	heure
au	PRP:det	au
lundi	NOM	lundi
8	NUM	@card@
h	ABR	heure
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
docteur	NOM	docteur
gobert	NAM	gobert
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
87.98	NUM	@card@
.	SENT	.
00	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
auxiliaire	NOM	auxiliaire
médicale	ADJ	médical
:	PUN	:
mme	VER:simp	mme
leroy	NOM	leroy
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.82	NUM	@card@
.	SENT	.
21.04	NUM	@card@
.	SENT	.
44	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
du	PRP:det	du
samedi	NOM	samedi
12	NUM	@card@
h	ABR	heure
au	PRP:det	au
lundi	NOM	lundi
14	NUM	@card@
h	ABR	heure
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
mairie	NOM	mairie
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
permanence	NOM	permanence
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
denis	NOM	denis
bartocci	NOM	bartocci
(	PUN	(
travaux	NOM	travail
,	PUN	,
salles	NOM	salle
communales	ADJ	communal
).	VER:simp	).
assemblée	NOM	assemblée
générale	ADJ	général
du	PRP:det	du
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
:	PUN	:
à	PRP	à
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
bilan	NOM	bilan
de	PRP	de
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
renouvellement	NOM	renouvellement
du	PRP:det	du
bureau	NOM	bureau
,	PUN	,
année	NOM	année
2003	NUM	@card@
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
plus	ADV	plus
exposition	NOM	exposition
sur	PRP	sur
le	DET:ART	le
don	NOM	don
du	PRP:det	du
sang	NOM	sang
par	PRP	par
l'	DET:ART	le
association	NOM	association
culturelle	ADJ	culturel
.	SENT	.
piscine	NOM	piscine
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
le	DET:ART	le
public	NOM	public
.	SENT	.
