c'	PRO:DEM	ce
est	VER:pres	être
toujours	ADV	toujours
une	DET:ART	un
agréable	ADJ	agréable
mission	NOM	mission
pour	PRP	pour
le	DET:ART	le
maire	NOM	maire
et	KON	et
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
de	PRP	de
scey-sur-saône	NOM	scey-sur-saône
d'	PRP	de
accueillir	VER:infi	accueillir
les	DET:ART	le
nouveaux	ADJ	nouveau
arrivants	NOM	arrivant
.	SENT	.
marcel	ADJ	marcel
begeot	NOM	begeot
n'	ADV	ne
a	VER:pres	avoir
pas	ADV	pas
caché	VER:pper	cacher
sa	DET:POS	son
satisfaction	NOM	satisfaction
en	PRP	en
présentant	VER:ppre	présenter
tous	PRO:IND	tout
les	DET:ART	le
avantages	NOM	avantage
de	PRP	de
la	DET:ART	le
cité	NOM	cité
aux	PRP:det	au
nouveaux	ADJ	nouveau
habitants	NOM	habitant
et	KON	et
une	DET:ART	un
échange	NOM	échange
cordial	ADJ	cordial
fut	VER:simp	être
rapidement	ADV	rapidement
établi	VER:pper	établir
.	SENT	.
le	DET:ART	le
maire	NOM	maire
a	VER:pres	avoir
ensuite	ADV	ensuite
présenté	VER:pper	présenter
les	DET:ART	le
conseillers	NOM	conseiller
municipaux	ADJ	municipal
et	KON	et
leur	DET:POS	leur
rôle	NOM	rôle
auprès	ADV	auprès
des	PRP:det	du
administrés	NOM	administré
.	SENT	.
