sous	PRP	sous
la	DET:ART	le
conduite	NOM	conduite
d'	PRP	de
andré	ADJ	andré
weibel	NOM	weibel
,	PUN	,
directeur	NOM	directeur
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
et	KON	et
de	PRP	de
danièle	ADJ	danièle
hingray	NOM	hingray
,	PUN	,
1	NUM	@card@
è	NOM	è
re	VER:subi	re
adjointe	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
une	DET:ART	un
visite	NOM	visite
«	PUN:cit	«
guidée	VER:pper	guider
»	PUN:cit	»
a	VER:pres	avoir
mené	VER:pper	mener
les	DET:ART	le
invités	NOM	invité
à	PRP	à
découvrir	VER:infi	découvrir
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
extension	NOM	extension
et	KON	et
de	PRP	de
réhabilitation	NOM	réhabilitation
à	PRP	à
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	ADJ	retrait
notre-dame	NOM	notre-dame
...	PUN	...
«	PUN:cit	«
l'	DET:ART	le
extension	NOM	extension
»	PUN:cit	»
commencée	VER:pper	commencer
au	PRP:det	au
printemps	NOM	printemps
2001	NUM	@card@
a	VER:pres	avoir
pris	VER:pper	prendre
fin	NOM	fin
en	PRP	en
décembre	NOM	décembre
de	PRP	de
cette	PRO:DEM	ce
même	ADJ	même
année	NOM	année
,	PUN	,
avec	PRP	avec
la	DET:ART	le
création	NOM	création
de	PRP	de
14	NUM	@card@
chambres	NOM	chambre
,	PUN	,
plus	ADV	plus
l'	DET:ART	le
aménagement	NOM	aménagement
d'	PRP	de
une	DET:ART	un
laverie	NOM	laverie
et	KON	et
d'	PRP	de
une	DET:ART	un
lingerie	NOM	lingerie
...	PUN	...
la	DET:ART	le
phase	NOM	phase
«	PUN:cit	«
réhabilitation	NOM	réhabilitation
»	PUN:cit	»
démarrée	VER:pper	démarrer
en	PRP	en
janvier	NOM	janvier
2002	NUM	@card@
a	VER:pres	avoir
consisté	VER:pper	consister
à	PRP	à
l'	DET:ART	le
aménagement	NOM	aménagement
des	PRP:det	du
locaux	NOM	local
de	PRP	de
la	DET:ART	le
zone	NOM	zone
«	PUN:cit	«
sud	ADJ	sud
»,	NOM	»,
au	PRP:det	au
1	NUM	@card@
e	NOM	e
étage	NOM	étage
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
permis	VER:pper	permettre
,	PUN	,
dès	PRP	dès
juillet	NOM	juillet
,	PUN	,
l'	DET:ART	le
installation	NOM	installation
de	PRP	de
quatre	NUM	quatre
chambres	NOM	chambre
à	PRP	à
deux	NUM	deux
lits	NOM	lit
,	PUN	,
trois	NUM	trois
chambres	NOM	chambre
à	PRP	à
un	DET:ART	un
lit	NOM	lit
et	KON	et
d'	PRP	de
un	DET:ART	un
espace	NOM	espace
convivialité	NOM	convivialité
de	PRP	de
60	NUM	@card@
m	VER:simp	m
2.	VER:pper	@ord@
en	PRP	en
novembre	NOM	novembre
2002	NUM	@card@
la	DET:ART	le
réhabilitation	NOM	réhabilitation
de	PRP	de
la	DET:ART	le
zone	NOM	zone
«	PUN:cit	«
nord	ADJ	nord
»	PUN:cit	»
(	PUN	(
1	NUM	@card@
e	NOM	e
et	KON	et
2	NUM	@card@
e	ADJ	e
étage	NOM	étage
)	PUN	)
a	VER:pres	avoir
donné	VER:pper	donner
naissance	NOM	naissance
à	PRP	à
huit	NUM	huit
chambres	NOM	chambre
à	PRP	à
un	DET:ART	un
lit	NOM	lit
.	SENT	.
andré	ADJ	andré
weibel	NOM	weibel
déclare	VER:pres	déclarer
:	PUN	:
«	PUN:cit	«
nous	PRO:PER	nous
avons	VER:pres	avoir
prévu	VER:pper	prévoir
de	PRP	de
réaliser	VER:infi	réaliser
deux	NUM	deux
phases	NOM	phase
de	PRP	de
«	PUN:cit	«
réhabilitation	NOM	réhabilitation
»	PUN:cit	»
premiers	NUM	premier
travaux	NOM	travail
de	PRP	de
novembre	NOM	novembre
2002	NUM	@card@
à	PRP	à
fin	ADJ	fin
février	NOM	février
2003	NUM	@card@
avec	PRP	avec
la	DET:ART	le
création	NOM	création
de	PRP	de
six	NUM	six
chambres	NOM	chambre
à	PRP	à
un	DET:ART	un
lit	NOM	lit
,	PUN	,
d'	PRP	de
une	DET:ART	un
salle	NOM	salle
de	PRP	de
soins	NOM	soin
,	PUN	,
de	PRP	de
vestiaires	NOM	vestiaire
et	KON	et
de	PRP	de
toilettes	NOM	toilette
pour	PRP	pour
personnes	NOM	personne
handicapées	VER:pper	handicaper
.	SENT	.
le	DET:ART	le
tout	ADV	tout
situé	VER:pper	situer
à	PRP	à
l'	DET:ART	le
ouest	NOM	ouest
sur	PRP	sur
deux	NUM	deux
étages	NOM	étage
.	SENT	.
deuxième	NUM	deuxième
intervention	NOM	intervention
de	PRP	de
mars	NOM	mars
à	PRP	à
juillet	NOM	juillet
2003	NUM	@card@
en	PRP	en
zone	NOM	zone
est	VER:pres	être
sur	PRP	sur
deux	NUM	deux
étages	NOM	étage
,	PUN	,
avec	PRP	avec
la	DET:ART	le
réalisation	NOM	réalisation
de	PRP	de
six	NUM	six
chambres	NOM	chambre
à	PRP	à
un	DET:ART	un
lit	NOM	lit
,	PUN	,
d'	PRP	de
une	DET:ART	un
pharmacie	NOM	pharmacie
,	PUN	,
d'	PRP	de
un	DET:ART	un
bureau	NOM	bureau
de	PRP	de
direction	NOM	direction
et	KON	et
d'	PRP	de
un	DET:ART	un
hall	NOM	hall
d'	PRP	de
entrée	NOM	entrée
»	PUN:cit	»
août	NOM	août
et	KON	et
septembre	NOM	septembre
2003	NUM	@card@
devraient	VER:cond	devoir
voir	VER:infi	voir
se	PRO:PER	se
terminer	VER:infi	terminer
les	DET:ART	le
travaux	NOM	travail
d'	PRP	de
extérieurs	NOM	extérieur
.	SENT	.
enfin	ADV	enfin
,	PUN	,
septembre	NOM	septembre
2003	NUM	@card@
sera	VER:futu	être
le	DET:ART	le
mois	NOM	moi|mois
d'	PRP	de
achèvement	NOM	achèvement
de	PRP	de
tous	PRO:IND	tout
les	DET:ART	le
travaux	NOM	travail
qui	PRO:REL	qui
auront	VER:futu	avoir
permis	VER:pper	permettre
en	PRP	en
tout	PRO:IND	tout
la	DET:ART	le
création	NOM	création
de	PRP	de
37	NUM	@card@
chambres	NOM	chambre
à	PRP	à
un	DET:ART	un
lit	NOM	lit
,	PUN	,
quatre	NUM	quatre
à	PRP	à
deux	NUM	deux
lits	NOM	lit
soit	KON	soit
la	DET:ART	le
possibilité	NOM	possibilité
«	PUN:cit	«
d'	PRP	de
héberger	VER:infi	héberger
45	NUM	@card@
pensionnaires	NOM	pensionnaire
supplémentaires	ADJ	supplémentaire
»	PUN:cit	»
de	PRP	de
la	DET:ART	le
clarté	NOM	clarté
,	PUN	,
des	PRP:det	du
couleurs	NOM	couleur
chatoyantes	ADJ	chatoyant
,	PUN	,
une	DET:ART	un
décoration	NOM	décoration
harmonieuse	ADJ	harmonieux
,	PUN	,
rien	NOM	rien
n'	ADV	ne
a	VER:pres	avoir
été	VER:pper	être
laissé	VER:pper	laisser
au	PRP:det	au
hasard	NOM	hasard
pour	KON	pour
que	KON	que
l'	DET:ART	le
établissement	NOM	établissement
au	PRP:det	au
personnel	NOM	personnel
compétent	ADJ	compétent
et	KON	et
dévoué	VER:pper	dévouer
devienne	VER:subp	devenir
au	PRP:det	au
fil	NOM	fil
des	PRP:det	du
années	NOM	année
ce	PRO:DEM	ce
«	PUN:cit	«
qui	PRO:REL	qui
se	PRO:PER	se
fait	VER:pres	faire
de	PRP	de
mieux	ADV	mieux
en	PRP	en
matière	NOM	matière
de	PRP	de
résidence	NOM	résidence
pour	PRP	pour
personnes	NOM	personne
seules	ADJ	seul
,...	ADJ	,...
qui	PRO:REL	qui
pour	PRP	pour
la	DET:ART	le
plupart	NOM	plupart
«	PUN:cit	«
avancent	VER:pres	avancer
dans	PRP	dans
l'	DET:ART	le
hiver	NOM	hiver
à	PRP	à
force	NOM	force
de	PRP	de
printemps	NOM	printemps
...	PUN	...
!	SENT	!
».	ABR	».
