cet	PRO:DEM	ce
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
se	PRO:PER	se
déroulera	VER:futu	dérouler
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
instance	NOM	instance
locale	ADJ	local
de	PRP	de
coordination	NOM	coordination
de	PRP	de
gérontologie	NOM	gérontologie
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
:	PUN	:
rapport	NOM	rapport
moral	ADJ	moral
de	PRP	de
la	DET:ART	le
présidente	NOM	président
,	PUN	,
monique	ADJ	monique
charpentier	NOM	charpentier
;	PUN	;
bilan	NOM	bilan
financier	ADJ	financier
et	KON	et
élection	NOM	élection
du	PRP:det	du
1	NUM	@card@
/	PUN	/
3	NUM	@card@
sortant	NOM	sortant
du	PRP:det	du
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
;	PUN	;
intervention	NOM	intervention
de	PRP	de
l'	DET:ART	le
association	NOM	association
alzheimer	NOM	alzheimer
et	KON	et
troubles	NOM	trouble
apparentés	VER:pper	apparenter
,	PUN	,
animée	VER:pper	animer
par	PRP	par
le	DET:ART	le
docteur	NOM	docteur
de	PRP	de
guio	NOM	guio
,	PUN	,
gériâtre	NOM	gériâtre
,	PUN	,
et	KON	et
m.	VER:subi	m.
marchal	NOM	marchal
,	PUN	,
de	PRP	de
l'	DET:ART	le
association	NOM	association
alzheimer	VER:infi	alzheimer
.	SENT	.
