ce	PRO:DEM	ce
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
montbouton	NOM	montbouton
,	PUN	,
les	DET:ART	le
féminines	ADJ	féminin
locales	NOM	local
,	PUN	,
sophie	NOM	sophie
courgey	NOM	courgey
,	PUN	,
marlène	NOM	marlène
lachat	NOM	lachat
,	PUN	,
gaëlle	ADJ	gaëlle
et	KON	et
emmanuelle	ADJ	emmanuelle
daucourt	NOM	daucourt
affronteront	VER:futu	affronter
en	PRP	en
championnat	NOM	championnat
de	PRP	de
nationale	NOM	national
2	NUM	@card@
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
miramas	NOM	miramas
,	PUN	,
proche	ADJ	proche
de	PRP	de
aix	NOM	aix
en	PRP	en
provence	NOM	provence
.	SENT	.
un	DET:ART	un
public	NOM	public
nombreux	ADJ	nombreux
est	VER:pres	être
attendu	VER:pper	attendre
.	SENT	.
l'	DET:ART	le
entrée	NOM	entrée
est	VER:pres	être
gratuite	ADJ	gratuit
.	SENT	.
