m.	ABR	m.
pierre	NOM	pierre
munier	NOM	munier
386	NUM	@card@
avenue	NOM	avenue
barrès	ADJ	barrès
88500	NUM	@card@
mirecourt	NOM	mirecourt
.	SENT	.
si	KON	si
l'	PRO:PER	la|le
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
plus	ADV	plus
réaliser	VER:infi	réaliser
des	PRP:det	du
gains	NOM	gain
de	PRP	de
productivité	NOM	productivité
,	PUN	,
il	PRO:PER	il
n'	ADV	ne
a	VER:pres	avoir
jamais	ADV	jamais
été	VER:pper	être
interdit	VER:pper	interdire
de	PRP	de
rechercher	VER:infi	rechercher
des	PRP:det	du
économies	NOM	économie
de	PRP	de
gaspillage	NOM	gaspillage
.	SENT	.
avec	PRP	avec
le	DET:ART	le
départ	NOM	départ
du	PRP:det	du
groupe	NOM	groupe
daewoo	ADJ	daewoo
,	PUN	,
la	DET:ART	le
lorraine	NOM	lorrain
peut	VER:pres	pouvoir
regretter	VER:infi	regretter
d'	PRP	de
avoir	VER:infi	avoir
accueilli	VER:pper	accueillir
avec	PRP	avec
force	NOM	force
subventions	NOM	subvention
depuis	PRP	depuis
1989	NUM	@card@
des	PRP:det	du
sites	NOM	site
de	PRP	de
productions	NOM	production
industrielles	ADJ	industriel
électroniques	ADJ	électronique
grand	ADJ	grand
public	NOM	public
,	PUN	,
qui	PRO:REL	qui
aujourd'hui	ADV	aujourd'hui
ne	ADV	ne
sont	VER:pres	être
plus	ADV	plus
compétitifs	ADJ	compétitif
.	SENT	.
créées	VER:pper	créer
pour	PRP	pour
contourner	VER:infi	contourner
les	DET:ART	le
droits	NOM	droit
de	PRP	de
douanes	NOM	douane
imposés	VER:pper	imposer
aux	PRP:det	au
marchandises	NOM	marchandise
asiatiques	ADJ	asiatique
,	PUN	,
les	DET:ART	le
usines	NOM	usine
du	PRP:det	du
groupe	NOM	groupe
sont	VER:pres	être
toutes	PRO:IND	tout
en	PRP	en
cessation	NOM	cessation
de	PRP	de
paiement	NOM	paiement
ou	KON	ou
en	PRP	en
dépôt	NOM	dépôt
de	PRP	de
bilan	NOM	bilan
,	PUN	,
suite	NOM	suite
à	PRP	à
la	DET:ART	le
suppression	NOM	suppression
de	PRP	de
mesures	NOM	mesure
anti-dumping	NOM	anti-dumping
et	KON	et
à	PRP	à
de	PRP	de
graves	ADJ	grave
erreurs	NOM	erreur
de	PRP	de
gestion	NOM	gestion
.	SENT	.
la	DET:ART	le
lorraine	NOM	lorrain
,	PUN	,
terre	NOM	terre
d'	PRP	de
accueil	NOM	accueil
,	PUN	,
est	VER:pres	être
victime	NOM	victime
une	DET:ART	un
fois	NOM	foi|fois
de	PRP	de
plus	ADV	plus
du	PRP:det	du
jeu	NOM	jeu
de	PRP	de
ces	PRO:DEM	ce
chasseurs	NOM	chasseur
de	PRP	de
primes	NOM	prime
sans	PRP	sans
états	NOM	état
d'	PRP	de
âme	NOM	âme
.	SENT	.
après	PRP	après
s'	PRO:PER	se
être	VER:infi	être
bien	ADV	bien
repus	VER:pper	repaître
des	PRP:det	du
généreuses	ADJ	généreux
conditions	NOM	condition
pour	PRP	pour
créer	VER:infi	créer
leurs	DET:POS	leur
usines	NOM	usine
«	PUN:cit	«
tournevis	NOM	tournevis
»,	ADJ	»,
ces	PRO:DEM	ce
vampires	NOM	vampire
sud-coréens	ADJ	sud-coréen
n'	ADV	ne
ont	VER:pres	avoir
aujourd'hui	ADV	aujourd'hui
aucun	PRO:IND	aucun
scrupule	NOM	scrupule
à	PRP	à
quitter	VER:infi	quitter
l'	DET:ART	le
eldorado	NOM	eldorado
fiscal	ADJ	fiscal
sans	PRP	sans
devoir	VER:infi	devoir
régler	VER:infi	régler
la	DET:ART	le
facture	NOM	facture
de	PRP	de
leur	DET:POS	leur
délocalisation	NOM	délocalisation
en	PRP	en
pologne	NOM	pologne
,	PUN	,
turquie	NOM	turquie
ou	KON	ou
chine	NOM	chine
.	SENT	.
dans	PRP	dans
notre	DET:POS	notre
société	NOM	société
française	ADJ	français
déshumanisée	VER:pper	déshumaniser
cohabitent	VER:pres	cohabiter
les	DET:ART	le
moutons	NOM	mouton
:	PUN	:
ceux	PRO:DEM	celui
qui	PRO:REL	qui
suivent	VER:pres	suivre
,	PUN	,
les	DET:ART	le
mutins	NOM	mutin
:	PUN	:
ceux	PRO:DEM	celui
qui	PRO:REL	qui
se	PRO:PER	se
révoltent	VER:pres	révolter
,	PUN	,
et	KON	et
les	DET:ART	le
mutants	NOM	mutant
:	PUN	:
ceux	PRO:DEM	celui
qui	PRO:REL	qui
changent	VER:pres	changer
.	SENT	.
ledit	PRO:DEM	ledit
groupe	NOM	groupe
a	VER:pres	avoir
bien	ADV	bien
su	VER:pper	savoir
choisir	VER:infi	choisir
son	DET:POS	son
camp	NOM	camp
.	SENT	.
hélas	INT	hélas
pour	PRP	pour
les	DET:ART	le
moutons	NOM	mouton
qui	PRO:REL	qui
vont	VER:pres	aller
se	PRO:PER	se
retrouver	VER:infi	retrouver
chômeurs	NOM	chômeur
.	SENT	.
bon	ADJ	bon
courage	NOM	courage
pour	PRP	pour
les	DET:ART	le
mutins	NOM	mutin
,	PUN	,
qui	PRO:REL	qui
ne	ADV	ne
pourront	VER:futu	pouvoir
jamais	ADV	jamais
combattre	VER:infi	combattre
les	DET:ART	le
redoutables	ADJ	redoutable
conséquences	NOM	conséquence
de	PRP	de
la	DET:ART	le
mondialisation	NOM	mondialisation
.	SENT	.
sus	ADV	sus
aux	PRP:det	au
mutants	NOM	mutant
opportunistes	ADJ	opportuniste
,	PUN	,
scandaleux	ADJ	scandaleux
profiteurs	NOM	profiteur
de	PRP	de
la	DET:ART	le
conjoncture	NOM	conjoncture
et	KON	et
de	PRP	de
la	DET:ART	le
filouterie	NOM	filouterie
financière	ADJ	financier
internationale	ADJ	international
.	SENT	.
