lors	ADV	lors
de	PRP	de
sa	DET:POS	son
dernière	ADJ	dernier
séance	NOM	séance
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
sous	PRP	sous
la	DET:ART	le
présidence	NOM	présidence
du	PRP:det	du
maire	NOM	maire
claude	NOM	claude
dubois	NOM	dubois
,	PUN	,
a	VER:pres	avoir
décidé	VER:pper	décider
d'	PRP	de
adopter	VER:infi	adopter
la	DET:ART	le
charte	NOM	charte
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
décide	VER:pres	décider
de	PRP	de
confier	VER:infi	confier
les	DET:ART	le
dossiers	NOM	dossier
concernant	VER:ppre	concerner
l'	DET:ART	le
amélioration	NOM	amélioration
de	PRP	de
la	DET:ART	le
qualité	NOM	qualité
renforcement	NOM	renforcement
et	KON	et
réhabilitation	NOM	réhabilitation
du	PRP:det	du
réseau	NOM	réseau
2	NUM	@card@
e	ADJ	e
tranche	NOM	tranche
à	PRP	à
la	DET:ART	le
ddaf	NOM	ddaf
.	SENT	.
faisant	VER:ppre	faire
suite	NOM	suite
à	PRP	à
la	DET:ART	le
défection	NOM	défection
de	PRP	de
sita	NOM	sita
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
de	PRP	de
confier	VER:infi	confier
la	DET:ART	le
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
à	PRP	à
l'	DET:ART	le
entreprise	NOM	entreprise
barisien	ADJ	barisien
de	PRP	de
briey	NOM	briey
pour	PRP	pour
un	DET:ART	un
coût	NOM	coût
par	PRP	par
habitant	NOM	habitant
et	KON	et
par	PRP	par
an	NOM	an
de	PRP	de
17,80	NUM	@card@
euros	NOM	euro
pour	PRP	pour
une	DET:ART	un
durée	NOM	durée
de	PRP	de
3	NUM	@card@
ans	NOM	an
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
février	NOM	février
2003	NUM	@card@
concernant	PRP	concernant
le	DET:ART	le
choix	NOM	choix
de	PRP	de
l'	DET:ART	le
architecte	NOM	architecte
pour	PRP	pour
la	DET:ART	le
rénovation	NOM	rénovation
du	PRP:det	du
logement	NOM	logement
de	PRP	de
la	DET:ART	le
poste	NOM	poste
et	KON	et
du	PRP:det	du
presbytère	NOM	presbytère
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
de	PRP	de
confier	VER:infi	confier
la	DET:ART	le
mission	NOM	mission
concernant	VER:ppre	concerner
les	DET:ART	le
travaux	NOM	travail
de	PRP	de
rénovation	NOM	rénovation
des	PRP:det	du
logements	NOM	logement
à	PRP	à
m.	ABR	m.
deloy	NOM	deloy
,	PUN	,
architecte	NOM	architecte
à	PRP	à
vittel	NAM	Vittel
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
fixe	VER:pres	fixer
la	DET:ART	le
redevance	NOM	redevance
2003	NUM	@card@
pour	PRP	pour
les	DET:ART	le
ventes	NOM	vente
au	PRP:det	au
déballage	NOM	déballage
à	PRP	à
25	NUM	@card@
euros	NOM	euro
.	SENT	.
afin	KON	afin
de	PRP	de
récupérer	VER:infi	récupérer
le	DET:ART	le
logement	NOM	logement
au	PRP:det	au
dessus	NOM	dessus
du	PRP:det	du
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
accepte	VER:pres	accepter
de	PRP	de
résilier	VER:infi	résilier
le	DET:ART	le
bail	NOM	bail
de	PRP	de
location	NOM	location
du	PRP:det	du
25	NUM	@card@
mars	NOM	mars
1998	NUM	@card@
et	KON	et
autorise	VER:pres	autoriser
m.	VER:pper	m.
le	DET:ART	le
maire	NOM	maire
à	PRP	à
signer	VER:infi	signer
le	DET:ART	le
nouveau	ADJ	nouveau
bail	NOM	bail
commercial	ADJ	commercial
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
mars	NOM	mars
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
donne	VER:pres	donner
son	DET:POS	son
accord	NOM	accord
à	PRP	à
la	DET:ART	le
demande	NOM	demande
de	PRP	de
subvention	NOM	subvention
à	PRP	à
l'	DET:ART	le
agence	NOM	agence
de	PRP	de
l'	DET:ART	le
eau	NOM	eau
concernant	VER:ppre	concerner
les	DET:ART	le
études	NOM	étude
pour	PRP	pour
le	DET:ART	le
dossier	NOM	dossier
d'	PRP	de
assainissement	NOM	assainissement
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
accepte	VER:pres	accepter
les	DET:ART	le
demandes	NOM	demande
d'	PRP	de
adhésion	NOM	adhésion
de	PRP	de
seize	NUM	seize
collectivités	NOM	collectivité
au	PRP:det	au
syndicat	NOM	syndicat
mixte	ADJ	mixte
pour	PRP	pour
l'	DET:ART	le
informatisation	NOM	informatisation
communale	ADJ	communal
et	KON	et
refuse	VER:pres	refuser
la	DET:ART	le
demande	NOM	demande
de	PRP	de
retrait	NOM	retrait
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
xonrupt-longemer	VER:infi	xonrupt-longemer
.	SENT	.
la	DET:ART	le
redevance	NOM	redevance
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
est	VER:pres	être
fixée	VER:pper	fixer
à	PRP	à
52	NUM	@card@
euros	NOM	euro
par	PRP	par
assujetti	VER:pper	assujettir
.	SENT	.
