mardi	NOM	mardi
4	NUM	@card@
février	NOM	février
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
permanence	NOM	permanence
opah	NOM	opah
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
club	NOM	club
des	PRP:det	du
pervenches	NOM	pervenche
:	PUN	:
cartes	NOM	carte
et	KON	et
jeux	NOM	jeu
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
des	PRP:det	du
anciens	NOM	ancien
.	SENT	.
csb	NOM	csb
:	PUN	:
entraînement	NOM	entraînement
des	PRP:det	du
footballeurs	NOM	footballeur
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
de	PRP	de
la	DET:ART	le
malplantouze	ADJ	malplantouze
.	SENT	.
tennis	NOM	tennis
de	PRP	de
table	NOM	table
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
marcel	ADJ	marcel
richard	NOM	richard
.	SENT	.
club	NOM	club
informatique	ADJ	informatique
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
mercredi	NOM	mercredi
5	NUM	@card@
:	PUN	:
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
.	SENT	.
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h.	ABR	h.
club	NOM	club
informatique	ADJ	informatique
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
jeudi	NOM	jeudi
6	NUM	@card@
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
csb	NOM	csb
:	PUN	:
entraînement	NOM	entraînement
des	PRP:det	du
footballeurs	NOM	footballeur
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
stade	NOM	stade
de	PRP	de
la	DET:ART	le
malplantouze	ADJ	malplantouze
.	SENT	.
club	NOM	club
informatique	ADJ	informatique
:	PUN	:
de	PRP	de
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
22	NUM	@card@
h	ABR	heure
45	NUM	@card@
au	PRP:det	au
groupe	NOM	groupe
scolaire	ADJ	scolaire
.	SENT	.
vendredi	NOM	vendredi
7	NUM	@card@
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
