hier	ADV	hier
,	PUN	,
patrick	NOM	patrick
hatzig	NOM	hatzig
,	PUN	,
conseiller	VER:infi	conseiller
municipal	ADJ	municipal
,	PUN	,
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
consentement	NOM	consentement
municipal	ADJ	municipal
de	PRP	de
valentine	NOM	valentin
ly	NOM	ly
et	KON	et
de	PRP	de
pinith	ADJ	pinith
heang	NOM	heang
.	SENT	.
les	DET:ART	le
nouveaux	ADJ	nouveau
époux	NOM	époux
sont	VER:pres	être
domiciliés	VER:pper	domicilier
5	NUM	@card@
7	NUM	@card@
rue	NOM	rue
emile-bertin	ADJ	emile-bertin
à	PRP	à
nancy	NOM	nancy
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
