c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
11	NUM	@card@
h	ABR	heure
43	NUM	@card@
le	DET:ART	le
16	NUM	@card@
janvier	NOM	janvier
qu'	PRO:REL	que
est	VER:pres	être
né	VER:pper	naître
,	PUN	,
à	PRP	à
la	DET:ART	le
polyclinique	NOM	polyclinique
majorelle	ADJ	majorelle
de	PRP	de
nancy	NOM	nancy
,	PUN	,
jocelyn	NOM	jocelyn
.	SENT	.
d'	PRP	de
un	DET:ART	un
poids	NOM	poids
de	PRP	de
3,580	NUM	@card@
kg	ABR	kg
et	KON	et
d'	PRP	de
une	DET:ART	un
taille	NOM	taille
de	PRP	de
51	NUM	@card@
cm	NOM	cm
à	PRP	à
sa	DET:POS	son
venue	NOM	venu|venue
au	PRP:det	au
monde	NOM	monde
,	PUN	,
le	DET:ART	le
bambin	NOM	bambin
est	VER:pres	être
le	DET:ART	le
premier	NUM	premier
enfant	NOM	enfant
d'	PRP	de
angelina	NOM	angelina
georges	ADJ	georges
,	PUN	,
secrétaire	NOM	secrétaire
de	PRP	de
direction	NOM	direction
,	PUN	,
et	KON	et
de	PRP	de
gérard	ADJ	gérard
michel	NOM	michel
,	PUN	,
technicien	ADJ	technicien
régleur	NOM	régleur
,	PUN	,
domiciliés	VER:pper	domicilier
rue	NOM	rue
estienne	ADJ	estienne
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
