lors	ADV	lors
de	PRP	de
la	DET:ART	le
cérémonie	NOM	cérémonie
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
,	PUN	,
henri	NOM	henri
cerutti	VER:pper	cerutti
a	VER:pres	avoir
présenté	VER:pper	présenter
à	PRP	à
ses	DET:POS	son
administrés	NOM	administré
les	DET:ART	le
nouveaux	ADJ	nouveau
habitants	NOM	habitant
de	PRP	de
la	DET:ART	le
commune	NOM	commune
:	PUN	:
bruno	NOM	bruno
nivelet	ADJ	nivelet
,	PUN	,
porteur	NOM	porteur
de	PRP	de
projets	NOM	projet
habite	VER:pres	habiter
l'	DET:ART	le
ancienne	ADJ	ancien
maison	NOM	maison
de	PRP	de
marcel	ADJ	marcel
chabot	NOM	chabot
;	PUN	;
mme	VER:pper	mme
et	KON	et
m.	VER:subi	m.
battani	ADJ	battani
,	PUN	,
technicien	ADJ	technicien
chez	PRP	chez
renault	NOM	renault
,	PUN	,
et	KON	et
leur	DET:POS	leur
enfant	NOM	enfant
,	PUN	,
viennent	VER:pres	venir
de	PRP	de
manoncourt-sur-seille	NOM	manoncourt-sur-seille
et	KON	et
habitent	VER:pres	habiter
la	DET:ART	le
maison	NOM	maison
de	PRP	de
mme	NOM	madame
petit	ADJ	petit
;	PUN	;
mme	VER:pper	mme
et	KON	et
m.	VER:subi	m.
pascal	ADJ	pascal
sauy	NOM	sauy
,	PUN	,
chauffeur	NOM	chauffeur
routier	ADJ	routier
,	PUN	,
et	KON	et
leurs	DET:POS	leur
deux	NUM	deux
enfants	NOM	enfant
,	PUN	,
viennent	VER:pres	venir
de	PRP	de
pulnoy	NOM	pulnoy
et	KON	et
demeurent	VER:pres	demeurer
dans	PRP	dans
l'	DET:ART	le
ancienne	ADJ	ancien
maison	NOM	maison
de	PRP	de
leur	DET:POS	leur
grand-mère	NOM	grand-mère
mme	VER:futu	mme
jeanne	NOM	jeanne
gigout	NOM	gigout
à	PRP	à
saint-martin	NOM	saint-martin
;	PUN	;
charles	NOM	charles
wegener	NAM	wegener
,	PUN	,
employé	VER:pper	employer
dans	PRP	dans
une	DET:ART	un
maison	NOM	maison
de	PRP	de
disques	NOM	disque
,	PUN	,
et	KON	et
ses	DET:POS	son
deux	NUM	deux
enfants	NOM	enfant
,	PUN	,
viennent	VER:pres	venir
d'	PRP	de
eply	NOM	eply
et	KON	et
habitent	VER:pres	habiter
chez	PRP	chez
m.	ABR	m.
jean	NOM	jean
boutserin	ADJ	boutserin
.	SENT	.
