ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
finales	NOM	finale
départementales	ADJ	départemental
individuelles	ADJ	individuel
du	PRP:det	du
programme	NOM	programme
fédéral	ADJ	fédéral
se	PRO:PER	se
disputeront	VER:futu	disputer
à	PRP	à
vand	ADJ	vand
	NOM	
uvre	NOM	uvre
.	SENT	.
le	DET:ART	le
cadet	NOM	cadet
,	PUN	,
gael	NOM	gael
communal	ADJ	communal
;	PUN	;
le	DET:ART	le
junior	NOM	junior
,	PUN	,
cédric	NOM	cédric
perrin	NOM	perrin
et	KON	et
le	DET:ART	le
senior	NOM	senior
,	PUN	,
jimmy	NOM	jimmy
michel	ADJ	michel
représenteront	VER:futu	représenter
lunéville	ADJ	lunéville
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
durant	PRP	durant
toute	PRO:IND	tout
la	DET:ART	le
journée	NOM	journée
,	PUN	,
les	DET:ART	le
finales	NOM	finale
départementales	ADJ	départemental
individuelles	ADJ	individuel
critérium	NOM	critérium
battront	VER:futu	battre
leur	DET:POS	leur
plein	ADJ	plein
pour	PRP	pour
les	DET:ART	le
minimes	ADJ	minime
,	PUN	,
morgan	NOM	morgan
baudoin	ADJ	baudoin
,	PUN	,
julien	ADJ	julien
abeele	NOM	abeele
et	KON	et
ervin	NOM	ervin
saint	ADJ	saint
antoine	NOM	antoine
;	PUN	;
pour	PRP	pour
16	NUM	@card@
benjamines	NOM	benjamin
,	PUN	,
cinq	NUM	cinq
cadettes	NOM	cadet
,	PUN	,
sept	NUM	sept
minimes	ADJ	minime
filles	NOM	fille
.	SENT	.
il	PRO:PER	il
faudra	VER:futu	falloir
se	PRO:PER	se
donner	VER:infi	donner
au	PRP:det	au
maximum	NOM	maximum
pour	PRP	pour
tenter	VER:infi	tenter
de	PRP	de
se	PRO:PER	se
qualifier	VER:infi	qualifier
en	PRP	en
finale	NOM	finale
régionale	ADJ	régional
.	SENT	.
