hier	ADV	hier
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
de	PRP	de
vézelise	NOM	vézelise
ont	VER:pres	avoir
été	VER:pper	être
appelés	VER:pper	appeler
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	VER:pper	cheminer
desservant	VER:ppre	desservir
une	DET:ART	un
chaudière	NOM	chaudière
à	PRP	à
bois	NOM	bois
,	PUN	,
rue	NOM	rue
des	PRP:det	du
grandes-haies	NOM	grandes-haies
,	PUN	,
à	PRP	à
fraisnes-en-saintois	NOM	fraisnes-en-saintois
.	SENT	.
a	VER:pres	avoir
leur	DET:POS	leur
arrivée	NOM	arrivé|arrivée
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
,	PUN	,
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
constaté	VER:pper	constater
que	KON	que
le	DET:ART	le
feu	NOM	feu
s'	PRO:PER	se
était	VER:impf	être
propagé	VER:pper	propager
au	PRP:det	au
plafond	NOM	plafond
du	PRP:det	du
premier	NUM	premier
étage	NOM	étage
de	PRP	de
la	DET:ART	le
bâtisse	NOM	bâtisse
.	SENT	.
après	PRP	après
avoir	VER:infi	avoir
procédé	VER:pper	procéder
au	PRP:det	au
dégarnissage	NOM	dégarnissage
de	PRP	de
la	DET:ART	le
partie	NOM	partie
touchée	VER:pper	toucher
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
ont	VER:pres	avoir
achevé	VER:pper	achever
l'	DET:ART	le
extinction	NOM	extinction
de	PRP	de
l'	DET:ART	le
incendie	NOM	incendie
.	SENT	.
