c'	PRO:DEM	ce
est	VER:pres	être
à	PRP	à
la	DET:ART	le
maternité	NOM	maternité
de	PRP	de
toul	NOM	toul
qu'	PRO:REL	que
est	VER:pres	être
née	VER:pper	naître
lalie	NOM	lalie
,	PUN	,
le	DET:ART	le
10	NUM	@card@
janvier	NOM	janvier
.	SENT	.
tout	ADV	tout
s'	PRO:PER	se
est	VER:pres	être
bien	ADV	bien
passé	VER:pper	passer
,	PUN	,
et	KON	et
lalie	NOM	lalie
a	VER:pres	avoir
rejoint	VER:pper	rejoindre
le	DET:ART	le
domicile	NOM	domicile
de	PRP	de
ses	DET:POS	son
parents	NOM	parent|parents
,	PUN	,
marylin	NOM	marylin
et	KON	et
michael	NOM	michael
ryon	NOM	ryon
,	PUN	,
où	PRO:REL	où
l'	PRO:PER	la|le
attendait	VER:impf	attendre
sa	DET:POS	son
grande	ADJ	grand
s	NOM	s
	ADJ	
ur	VER:simp	ur
noémie	NOM	noémie
.	SENT	.
